dataset shorthand,type,Genus.ncbi,Species.ncbi,Species.name (queried GBIF),reason no map,IUCN?,to check,Range source,Range source website,Range description,Range errors,"Action (fine = no action needed; fine.unconfirmed = gbif records look good but no good info to check against; excl.points=exclude points according to code (lts, longs & gbifIDs); country.codes = use country codes as well as lats/longs/gbifIDs; remove.use.IUCN = remove from GBIF pipeline & use IUCN map; remove = unsolveable rnage errors, remove species entirely; partial.range = use only the part of the range where the thermal tolerance data come from (for sp with disjunct distributions in multiple coasts/continents) ",Action remove explanation,countries in range,country.codes,gbifIDs.to.excl,code to get gbifIDs to excl,excl.lon.below,excl.lon.above,excl.lat.below,excl.lat.above,who did final code,potential good gbif range for IUCN comp,Realm,Body Mass,tmax,tmax_metric,Sex,tmax_pretreatment,Rate of change (ramping temp) C/MIN,latctmax,longctmax,elevationctmax,REF_ctmax,location_ctmax,ctmin,tmin_metric,sex,Rate of change (ramping temp) c/min,tmin_pretreatment,latctmin,longctmin,elevationctmin,REF_ctmin,location_ctmin,Thropic position,dataset,birth Wild or Captive,thermal tolerance notes,original order,Genus (sDIV dataset May),Species (sDIV dataset May),Kingdom,Phylum,Class,Order,Family,NCBI.UID,change,double?,taxonomic issues
plants,angiosperm,Argyrotegium,mackayi,Argyrotegium mackayi,,,,"New Zealand flora, NEW SOUTH WALES FLORA ONLINE","http://www.nzpcn.org.nz/flora_details.aspx?ID=1485, and http://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Argyrotegium~mackayi","NZ, Vic., Tas. ","range looks good given both range descriptions, one point in mid-Australia to remove",excl.points,,,,,,145,,,,JS,,Terrestrial,,,,,,,,,,,,-7.6,LT50,,0.083,FF,-45.4,170.1,1240,Bannister et al. 2005,1,,,W,Foliage New Zealand FF = processed within 24hrs  ,,Argyrotegium,mackayi,Plantae,Streptophyta,Pentapetalae,Asterales,Asteraceae,59429,used unranked level Pentapetalae,,
plants,angiosperm,Artemisia,californica,Artemisia californica,,,,US forest service,http://www.fs.fed.us/database/feis/plants/shrub/artcal/all.html,"California sagebrush is endemic to California [60,107,155,156] and Baja California [118,204,210]. The distribution of California sagebrush is categorized within 4 major floristic associations. The floristic associations and their ranges are as follows: 1) Diablan: found from San Francisco region south to northern Santa Barbara County; 2) Venturan: a coastal group found from northern Santa Barbara County south through coastal Los Angeles County; 3) Riversidian: a cismontane inland group found from inland Los Angeles County, western Riverside County, and inland San Diego County; and 4) Diegan: a Baja-influenced group found from Orange County and coastal San Diego County south into northwestern Baja California [13,204]. California sagebrush distribution and occurrence is greatest in the Riversidian floristic association [202]. California sagebrush also occurs on some of the Channel Islands (Santa Clemente, Santa Catalina, Santa Cruz, San Miguel, San Nicholas, and Santa Rosa ) [146,155,169,205]. In Baja California, California sagebrush extends 200 miles (325 km) south of the Mexican border to approximately El Rosario [5,51,118,204]. Plants Database provides a distributional map of California sagebrush. ","point in south America to remove, also remove island occurance as not in range description",excl.points,,,,,,,,30,,JS,,Terrestrial,,53,tmax,,FF,,34.1,-118.6,360,Knight & Ackerly 2002,1,,,,,,,,,,,,,W,FOLIAGE WILD COLLECTED HELD IN THE LAB FOR 6 HOURS   ,,Artemisia,californica,Plantae,Streptophyta,Pentapetalae,Asterales,Asteraceae,86309,unranked level used,d,
plants,angiosperm,Asarum,europaeum,Asarum europaeum,,,,"Wikipedia sources: Tutin, T.G.; V. H. Heywood; N. A. Burges; D. H. Valentine; S. M. Walters; D. A. Webb (ed.). ""Asarum europaeum"". Flora Europaea. Cambridge University Press.",https://en.wikipedia.org/wiki/Asarum_europaeum,"Asarum europaeum has a wide distribution in Europe. It ranges from southern Finland and northern Russia south to southern France, Italy, Croatia, Bosnia and Herzegovina and the Republic of Macedonia. It is absent from the British Isles and Scandinavia with the exception of southern Finland, and also from northwestern Germany[3] and the Netherlands. Within Europe, the plant is grown outside of its range in the United Kingdom, Denmark, Sweden, Norway and the Netherlands.[4]","too many points outside of described native range, plus southern end of range is poorly represented.",remove,"too many points outside of described native range, plus southern end of range is poorly represented.",,,,,,,,,JS,,Terrestrial,,48.5,LT50,,30,0.7,na,,,Bilger et al 1984,1,,,,,,,,,,,,,W,Foliage   ,,Asarum,europaeum,Plantae,Streptophyta,Magnoliidae,Piperales,Aristolochiaceae,49456,unranked level used,,
plants,angiosperm,Astartea,fascicularis,Astartea fascicularis,,,,Australian National Herbarium,https://www.anbg.gov.au/gnp/gnp2/astartea-fascicularis.html,south western corner of Australia,exclude outlying points not in southwestern corner of Australia,excl.points,,,,,,100,125,,,JS,,Terrestrial,,,,,,,,,,,,-4.7,LT50,,,FF,,,,Bannister & Lord 2010,3,,,C,Australian plant in NZ Botanical gardens   ,,Astartea,fasciculatus,Plantae,Streptophyta,Pentapetalae,Myrtales,Myrtaceae,199379,species name updated,,
plants,gymnosperm,Athrotaxis,cupressoides,Athrotaxis cupressoides,,,,IUCN,http://www.iucnredlist.org/details/32054/0,"Endemic to Tasmania (Australia), occurring mainly on the Central Plateau, the Great Western Tier and westward mountains, more scattered in the south of the island. ",2 outlying points outside of Tasmania,excl.points,,,,,,,,,-40,JS,,Terrestrial,,,,,,,,,,,,-13.9,LT50,,,FF,,,,Bannister & Lord 2010,3,,,C,Australian plant in NZ Botanical gardens   ,,Athrotaxis,cupressoides,Plantae,Streptophyta,Pinidae,Cupressales,Cupressaceae,99817,,,
plants,moss,Atrichum,undulatum,Atrichum undulatum,,,,Smith & Smith (1978) = best.  Also Watson guide to british mosses: throughout UK.  Redfearn (1972) guide to mosses N.Am.: occurs in interior highlands of N.Am,"see downloaded pdfs.  Also in UBC library: STUDIES ON THE CYTOTYPES OF ATRICHUM-UNDULATUM (HEDW) BEAUV,P. .1. MORPHOLOGY AND DISTRIBUTION By: ABDERRAHMAN, S; SMITH, AJE. JOURNAL OF BRYOLOGY  Volume: 12   Pages: 265-271   Part: 2   Published: 1982","Best description comes from Smith & Smith (1978): var undulatum: C Europe, Asia, Algeria, Maderira, Azores, N America.  Var minus: UK, Europe, N ASia, N America.  var gracillisetum some counties of UK, Europe, Caucas, Siberia, Japan, Phillipines, N America.  Jenn found ref saying introduced to N Am but this is a bit weird for a moss",,remove,"missing most of range in Eurasia incl S RL (Algeria, Maderira, Azores, Russia etc)",,,,,-30,,,,AH,,Terrestrial,,46.6,ctmax,,,,51,10,375,Meyer & Santarius 1998,,,,,,,,,,,,,,W,critical temp before irreversible damage occurs   ,,Atrichum,undulatum,Plantae,Streptophyta,Polytrichopsida,Polytrichales,Polytrichaceae,38592,,,
plants,angiosperm,Atriplex,hymenelytra,Atriplex hymenelytra,,,,USGS,http://pubs.usgs.gov/pp/p1650-g/individual_taxa/atlas_pages/Atriplex_hymenelytra.pdf,"south east California, south Navada, east Arizona",remove outlying points in mid-baja and Arizona,excl.points,,,,,,,-113,30,38,JS,,Terrestrial,,59.7,tmax,,FF,,43.04,-73,760,Knight & Ackerly 2002,1,,,,,,,,,,,,,W,LEAVES based on Relative electrolyte leakage (REL)   ,,Atriplex,hymenelytra,Plantae,Streptophyta,Pentapetalae,Caryophyllales,Amaranthaceae,880656,unranked level used,,
plants,angiosperm,Atriplex,leucophylla,Atriplex leucophylla,,,,US Forest Service,http://www.fs.fed.us/database/feis/plants/shrub/atrlen/all.html,"Big saltbrush occurs from central California east into southern Nevada and extreme southwestern Utah and south through western and central Arizona into Baja California and Sonora, Mexico","Southern edge of distribution in Baja is unclear, and occurrence data are disjunct. Therefore remove.",remove,"Southern edge of distribution in Baja is unclear, and occurrence data are disjunct. Therefore remove.",,,,,,,,,JS,,Terrestrial,,53.3,tmax,,FF,,34.1,-118.6,360,Knight & Ackerly 2002,1,,,,,,,,,,,,,W,FOLIAGE WILD COLLECTED HELD IN THE LAB FOR 6 HOURS   ,,Atriplex ,leucophylla,Plantae,Streptophyta,Pentapetalae,Caryophyllales,Amaranthaceae,880669,unranked level used,,
plants,angiosperm,Azara,integrifolia,Azara integrifolia,,,,chileflora.com,http://www.chileflora.com/Florachilena/FloraEnglish/HighResPages/EH0253.htm,Chile,Remove outliers in N. America and southern tip of Chile,excl.points,,,,,,,,-45,0,JS,,Terrestrial,,,,,,,,,,,,-6.4,LT50,,,FF,,,,Bannister & Lord 2010,3,,,C,South American plant in NZ Botanical gardens   ,,Azara,integrifolia,Plantae,Streptophyta,Pentapetalae,Malpighiales,Salicaceae,77059,,,
plants,angiosperm,Azara,microphylla,Azara microphylla,,,,"Trees in Patagonia, By Bernardo Gut",https://books.google.ca/books?id=Dw7IEoQgphgC&pg=PA117&lpg=PA117&dq=Azara+microphylla+distribution&source=bl&ots=l_t2bT0LQn&sig=tVNxNQnUTsUoPYCxDMFU7mLJ67c&hl=en&sa=X&ved=0CEQQ6AEwCmoVChMI6YLunPOSyAIVQS2ICh0dWQkM#v=onepage&q=Azara%20microphylla%20distribution&f=false,"Chile from LimarÍ Province to Aysen Province, Argentina in CHU, NE, RN, Parque National Lanin, Los Alerces, Parque National Nahuel Huapi",Outlying points outside of described range,excl.points,,,,,,,0,,0,JS,,Terrestrial,,,,,,,,,,,,-11.5,LT50,,,FF,,,,Bannister & Lord 2010,3,,,C,South American plant in NZ Botanical gardens   ,,Azara,microphylla,Plantae,Streptophyta,Pentapetalae,Malpighiales,Salicaceae,NA,,,
