dataset shorthand,type,Genus.ncbi,Species.ncbi,Species.name (queried GBIF),reason no map,IUCN?,to check,Range source,Range source website,Range description,Range errors,"Action (fine = no action needed; fine.unconfirmed = gbif records look good but no good info to check against; excl.points=exclude points according to code (lts, longs & gbifIDs); country.codes = use country codes as well as lats/longs/gbifIDs; remove.use.IUCN = remove from GBIF pipeline & use IUCN map; remove = unsolveable rnage errors, remove species entirely; partial.range = use only the part of the range where the thermal tolerance data come from (for sp with disjunct distributions in multiple coasts/continents) ",Action remove explanation,countries in range,country.codes,gbifIDs.to.excl,code to get gbifIDs to excl,excl.lon.below,excl.lon.above,excl.lat.below,excl.lat.above,who did final code,potential good gbif range for IUCN comp,Realm,Body Mass,tmax,tmax_metric,Sex,tmax_pretreatment,Rate of change (ramping temp) C/MIN,latctmax,longctmax,elevationctmax,REF_ctmax,location_ctmax,ctmin,tmin_metric,sex,Rate of change (ramping temp) c/min,tmin_pretreatment,latctmin,longctmin,elevationctmin,REF_ctmin,location_ctmin,Thropic position,dataset,birth Wild or Captive,thermal tolerance notes,original order,Genus (sDIV dataset May),Species (sDIV dataset May),Kingdom,Phylum,Class,Order,Family,NCBI.UID,change,double?,taxonomic issues
plants,lichen,Collema,auriculatum,Collema auriculatum,,,,Consortium of N Am lichen herbaria (THEY HAVE PROPER NAME AS C AURIFORME),,"Eurasia _ Europe | Americas _ North America (incl Mexico) | Americas _ South and Central America | Arctic.  Book on plnts of BC include it, Israel lichen website has it (under C auriforme), in Morocco (Abdelkrim etal 2013)",,remove,"N.Am sampling too sparse, missing S RL (Morocco) in Eurasia",,,,,,,,,AH,,Terrestrial,,,,,,,,,,,,-0.2,ctmin,,,,48.3,9.4,,Lange 1965,2,,,W,CTMIN= temp at which they no longer intake co2   ,,Collema,auriculatum,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Collemataceae,NA,,,
plants,angiosperm,Colutea,arborescens,Colutea arborescens,,,naturalized N of original range - what to do?,"Plants for a future, wikipedia",http://www.pfaf.org/user/Plant.aspx?LatinName=Colutea+arborescens; http://en.hortipedia.com/wiki/Colutea_arborescens,wikipedia: Europe & N Africa (introduced to N Am). PFAF: S Europe - Mediterranean (naturalized in UK); horticulture wiki: native to the whole of Europe with the exception of the British Isles and North Europe and is naturalized in the British Isles.  Ourarhi (2011),mising S RL in algeria but have in morocco. Has spread N of original meditereanean range - what to do?,,,,MA;DZ;PT;ES;FR;IT;GR;TR;TN;AL;ME;BA;HR;SI;GI;BG;CH;AT;HU,,,-11,,30,,AH,,Terrestrial,,42,T50,,,0.5,40.3,-3.7,600,Godoy et al 2011,,,,,,,,,,,,,,W,foliage t50 = 50% of initial Fv/Fm values a critical not a lethal temp   ,,Colutea,arborescens,Plantae,Streptophyta,Pentapetalae,Fabales,Fabaceae,47649,unranked level used,,
plants,angiosperm,Coprosma,lucida,Coprosma lucida,,,,wiki,http://nzetc.victoria.ac.nz/tm/scholarly/tei-KerKing-t1-back-d1-d4.html,"native to NZ. Uwell: widely distributed all over the central portion of North Island, especially in forests of Kamianawa Mountains and Western Taupo; grows up to altitude of 3000 feet.  NZ native platn centre: common shrub found in scrub and forests throughout New Zealand",remove points outside NZ,country.codes,,,NZ,,,165,180,,-34,AH,,Terrestrial,,,,,,,,,,,,-7,LT50,,,FF,-45.9,170.5,70,Bannister & Lord 2010,1,,,W,Foliage New Zealand native range ,,Coprosma,lucida,Plantae,Streptophyta,Pentapetalae,Gentianales,Rubiaceae,651545,used unranked level Pentapetalae,,
plants,angiosperm,Coprosma,perpusilla,Coprosma perpusilla,,,,PlantNET; atlas of living australia,http://bie.ala.org.au/species/urn:lsid:biodiversity.org.au:apni.taxon:96104,"The plant occurs in New Zealand, in Australia where it is native to the states of New South Wales, Victoria and Tasmania,[3] and to the subantarctic islands of Macquarie, Campbell, the Aucklands and the Antipodes. It grows in various habitats in alpine and subalpine regions",,fine,,,,,,,,,,AH,,Terrestrial,,,,,,,,,,,,-9.3,LT50,,0.083,FF,-45.4,170.1,1240,Bannister et al. 2005,1,,,W,Foliage New Zealand FF = processed within 24hrs  ,,Coprosma,perpusilla,Plantae,Streptophyta,Pentapetalae,Gentianales,Rubiaceae,1054358,used unranked level Pentapetalae,,
plants,angiosperm,Coprosma,repens,Coprosma repens,,,,wikipedia,,"The species is native to the North Island, South Island, Kermadec Islands and Three Kings Islands in New Zealand.[6] In Australia it has become naturalised in coastal areas of Victoria, New South Wales, South Australia and Tasmania,[4] to the extent that it is now classified as an environmental weed.",excl points outside NZ,excl.points,,,,,,165,180,,-34,AH,,Terrestrial,,,,,,,,,,,,-5,LT50,,,FF,-45.9,170.5,70,Bannister & Lord 2010,1,,,W,Foliage New Zealand native range ,,Coprosma,repens,Plantae,Streptophyta,Pentapetalae,Gentianales,Rubiaceae,450833,used unranked level Pentapetalae,,
plants,lichen,Cora,pavonia,Cora pavonia,,,,.,,.,very sparsely sampled for huge range,remove,sparse sampling for huge range,,,,,,,,,AH,,Terrestrial,,,,,,,,,,,,-1.2,ctmin,,,,-26.7,-65.7,1400,Lange 1965,2,,,W,CTMIN= temp at which they no longer intake co2   ,,Cora,pavonia,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,1399799,,,
plants,angiosperm,Correa,decumbens,Correa decumbens,,,,state herbarium of S Australia,http://www.flora.sa.gov.au/cgi-bin/texhtml.cgi?form=speciesfacts&family=Rutaceae&genus=Correa&species=decumbens,"endemic to S Australia: SL, KI",excl points in inland australia,excl.points,,,,,,,139.3,,,AH,,Terrestrial,,,,,,,,,,,,-6.7,LT50,,,FF,,,,Bannister & Lord 2010,3,,,C,Australian plant in NZ Botanical gardens   ,,Correa,decumbens,Plantae,Streptophyta,Pentapetalae,Sapindales,Rutaceae,686009,,,
plants,angiosperm,Crinodendron,hookerianum,Crinodendron hookerianum,,,missing 1 deg lat for remaining points,wikipedia,,"endemic to Chile, where it occurs from Cautin to Palena (38 to 43çS)",excl points outsdie range.  ,excl.points,,,CL,,,,,-43,-38,AH,,Terrestrial,,,,,,,,,,,,-4.9,LT50,,,FF,,,,Bannister & Lord 2010,3,,,C,South American plant in NZ Botanical gardens   ,,Crinodendron,hookerianum,Plantae,Streptophyta,Pentapetalae,Oxalidales,Elaeocarpaceae,112810,,,
plants,angiosperm,Cunonia,capensis,Cunonia capensis,,,?,PlantZA,http://www.plantzafrica.com/plantcd/cunoncapen.htm,"afromontane forests of Southern Africa: along the coast and adjacent inland areas from the Western Cape eastwards to Mozambique.  Wikipedia: Cunonia capensis naturally ranges from Cape Town and the Western Cape of South Africa, eastwards all the way to Swaziland and southern Mozambique.  BUT not listed in flora of mozambique http://www.mozambiqueflora.com or swaziland http://www.sntc.org.sz/flora/botanical.asp",excl points outside southern Africa & single point in interior Safrica.  No points in swaziland or mozambique,excl.points,,,,1055992108,,17,34,-35,-25,AH,,Terrestrial,,,,,,,,,,,,-3.8,LT50,,,FF,,,,Bannister & Lord 2010,3,,,C,South African plants in the New Zealand winter   ,,Cunonia,capensis,Plantae,Streptophyta,Pentapetalae,Oxalidales,Cunoniaceae,140419,,,
plants,gymnosperm,Cupressus,sempervirens,Cupressus sempervirens,,,make sure sample comes from original range (not cultivated),wikipedia; missouri bot garden; IUCN (no map); Bagnoli etal,,"MBG: native to southern Europe and western Asia.  IUCN: This species is found in the eastern Mediterranean: Crete, Cyprus, East Aegean Is., Greece (?); N Africa: Libya; Western Asia: Iran, Israel, Jordan, Lebanon, Syria, and Turkey [W Mediterranean distribution based on cultigens]. Cyprus; Greece (East Aegean Is., Greece (mainland) - Present - Origin Uncertain, Kriti); Iran, Islamic Republic of; Israel; Jordan; Lebanon; Libya; Turkey (NOT ITALY?  CALLED ITALIAN CYPRESS...)","trust IUCN (gives a narrower range of countried than wikipedia, but wiki offers no citations for range and is widely cultivated outside its original range) but add Wmed up to Italy according to Bagnoli etal 2009",country.codes,,,CY;GR;IR;IL;JO;LB;LY;TR;SY;IT;HR;AL,,,-10,45,30,,AH,,Terrestrial,,49.3,tmax,,30,1,42.49,2.25,770,Froux et al 2004,,,,,,,,,,,,,,W,Foliage from seeding  TC= critical temperature at ground fluorescence breakpoint  ,,Cupressus,sempervirens,Plantae,Streptophyta,Pinidae,Cupressales,Cupressaceae,13469,subclass used,,
plants,angiosperm,Cussonia,paniculata,Cussonia paniculata,,,,PlantZA,http://www.plantzafrica.com/plantcd/cussoniapan.htm,Cussonia paniculata occurs inland at altitudes up to 2 100 m. It is often found in rocky places from the mountains of the Karoo and Eastern Cape through KwaZulu-Natal and Free State into Gauteng and further north. It grows in crevices filled with natural organic humus and compost. It is commonly found near Johannesburg and Pretoria.,,excl.points,,,,,,17,34,,,AH,,Terrestrial,,,,,,,,,,,,-4.7,LT50,,,FF,,,,Bannister & Lord 2010,3,,,C,South African plants in the New Zealand winter   ,,Cussonia,paniculata,Plantae,Streptophyta,Pentapetalae,Apiales,Araliaceae,52500,,,
plants,angiosperm,Dais,cotinifolia,Dais cotinifolia,,,,PlantZA; flora of zimbabwe,http://www.plantzafrica.com/plantcd/daiscotonifolia.htm; http://www.zimbabweflora.co.zw/speciesdata/species.php?species_id=141380,"Its natural home is the eastern part of South Africa where it grows on the margins of forests, wooded hill slopes and in stony kloofs.  Zim flora says : Tanzania, Malawi, Zimbabwe, South Africa, Swaziland and Lesotho (but ref includes naturalised species)",excl points otuside southern africa & in western S Africa,excl.points,,,,,,24,34,,,AH,,Terrestrial,,,,,,,,,,,,-5.1,LT50,,,FF,,,,Bannister & Lord 2010,3,,,C,South African plants in the New Zealand winter   ,,Dais,cotinifolia,Plantae,Streptophyta,Pentapetalae,Malvales,Thymelaeaceae,82392,,,
plants,lichen,Dermatocarpon,fluviatile,Dermatocarpon fluviatile,,,,Consortium of N Am lichen herbaria; Quian & Klinka; Heiomarsson(2000),http://lichenportal.org/portal/taxa/index.php?taxon=64179; www.blm.gov/or/plans/surveyandmanage/MR/Lichens/dermato.pdf,"NB: now called D. luridum.  CNALH: North America and Europe Sonoran distribution: throughout Arizona. Notes: Dermatocarpon luridum is a common species in seepages and brooks in the temperate zone of both Europe and North America. (not in israeli list of lichens).  Quiqn & Klinka: in BC  Glavich (2006) says: his species has been mistaken for other lichens in the Pacific Northwest, including D. meiophyllizum and D. miniatum, and there is yet to be a verified specimen from the area. Verifiable D. luridum does occur in the U.S. (Wisconsin; Vermont; Virginia) and could possibly exist in the Pacific Northwest.  Dl restoration plan (have pdf): known from only 19 sites in the range of the Northwest Forest Plan, seven in Washington, nine in Oregon and three in California.  It occurs in northern and western Britain and Ireland, in New Zealand (Purvis et al. 1992), and in temperate to arctic regions in the Northern Hemisphere where it is uncommon in the Northwest Territories and frequent throughout British Columbia below the alpine zone (Goward et al. 1994). It is common in eastern North America, and uncommonly collected in the Rocky Mountains (McCune and Geiser 1997), British Columbia (Goward et al. 1994), and southeastern Alaska (Geiser et al. 1998).California sites may represent the southern limits of its range in North America.  Heiomarsson (2000): not particularly temp sensitive, occurs in both borreal and arctic zone in nordic countries",N Am: missing NRL (Alaska and northern BC).  Europe: missing bunch of points in southern Finland but N RL is good. Missing points in Morocco,remove,"N.Am range mising N RL, Eurasian range missing S RL (Morocco)",,,,,,,,,AH,,Terrestrial,,,,,,,,,,,,-10.8,ctmin,,,,51.7,10.6,,Lange 1965,1,,,W,CTMIN= temp at which they no longer intake co2   ,,Dermatocarpon,fluviatile,Fungi,Ascomycota,Eurotiomycetes,Verrucariales,Verrucariaceae,NA,,,
plants,angiosperm,Desfontainia,spinosa,Desfontainia spinosa,,,,wikipedia citing encyclopedia,,"native of rainforests and mountain slopes in southern Central America and South America, occurring from Costa Rica in the north to certain islands of Tierra del Fuego (shared by Chile and Argentina) in the extreme South, being present also in Panama, Colombia, Venezuela, Peru, Bolivia and Ecuador",excl point in USA,excl.points,,,,,,,,,14,AH,,Terrestrial,,,,,,,,,,,,-11.1,LT50,,,FF,,,,Bannister & Lord 2010,3,,,C,South American plant in NZ Botanical gardens   ,,Desfontainia,spinosa,Plantae,Streptophyta,Pentapetalae,Bruniales,Columelliaceae,34247,,,
plants,angiosperm,Diosma,ericoides,Diosma ericoides,,,,.,.,.,only 2 points,remove,too sparsely sampled,,,,,,,,,AH,,Terrestrial,,,,,,,,,,,,-4.9,LT50,,,FF,,,,Bannister & Lord 2010,3,,,C,South African plants in the New Zealand winter   ,,Diosma,ericoides,Plantae,Streptophyta,Pentapetalae,Sapindales,Rutaceae,NA,,,
plants,lichen,Diploschistes,gypsaceus,Diploschistes gypsaceus,,,,Consortium of N Am lichen herbaria;,http://lichenportal.org/portal/taxa/index.php?taxon=52883,CNALH: Africa (incl Madagascar) | Eurasia _ Asia Extratropical | Oceania _ Australasia | Eurasia _ Europe | Americas _ North America (incl Mexico) | Americas _ South and Central America | Arctic.,missing S RL (africa - Madagascar),remove,missing S RL (Africa),,,,,,,,,AH,,Terrestrial,,,,,,,,,,,,-11.5,ctmin,,,,44.2,-0.1,,Lange 1965,1,,,W,CTMIN= temp at which they no longer intake co2   ,,Diploschistes,gypsaceus,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,192900,,,
plants,lichen,Diplotomma,alboatrum,Diplotomma alboatrum,,,,Lichen portal,ichenportal.org/portal/taxa/index.php?taxon=55024,"Africa, Asia, Australia, Europe, North America, and South America",,remove,missing S RL (Africa),,,,,,,,,JS,,Terrestrial,,,,,,,,,,,,-11.1,ctmin,,,,30.5,35.1,,Lange 1965,1,,,W,CTMIN= temp at which they no longer intake co2   ,,Buellia,epipolia,Fungi,Ascomycota,Lecanoromycetes,Caliciales,Caliciaceae,205613,species name update Synonymy = Diplotomma alboatrum in microbank,,
plants,angiosperm,Dirca,occidentalis,Dirca occidentalis,,,,Calflora,http://www.calflora.org/cgi-bin/species_query.cgi?where-taxon=Dirca+occidentalis,endemic to California (narrow range round bay area),excl point in MX,excl.points,,,,,,,,36.4,,AH,,Terrestrial,,56,tmax,,FF,,33.5,-117.1,375,Knight & Ackerly 2002,1,,,,,,,,,,,,,W,FOLIAGE WILD COLLECTED HELD IN THE LAB FOR 6 HOURS   ,,Dirca ,occidentalis,Plantae,Streptophyta,Pentapetalae,Malvales,Thymelaeaceae,699060,unranked level used,,
plants,angiosperm,Dodonaea,viscosa,Dodonaea viscosa,,,need.sample.location,kew,http://www.kew.org/science-conservation/plants-fungi/dodonaea-viscosa-hopbush,"Widely distributed through the southern hemisphere including Australia, New Zealand, South and Southeast Asia, Africa and Latin America; also occurring in the southern United States.",Australia dist no good as missing from islands above.  Almost no points in africa.  Use Nam range if thatês where thermal tolerance point comes ,,,,,,,,,,,AH,,Terrestrial,,,,,,,,,,,,-8.1,LT50,,,FF,,,,Bannister & Lord 2010,3,,,C,Australian plant in NZ Botanical gardens   ,,Dodonea,viscosa,Plantae,Streptophyta,Pentapetalae,Sapindales,Sapindaceae,151065,,,
plants,angiosperm,Dovyalis,caffra,Dovyalis caffra,,,,PlantZA,http://www.plantzafrica.com/plantcd/dovycaf.htm,"from Eastern Cape through KwaZulu-Natal to Swaziland, into Limpopo [Northern Province] and Zimbabwe.",only have points in South Africa,remove,missing N RL (Zimbabwe),,,,,,38,-50,-10,AH,,Terrestrial,,,,,,,,,,,,-8.7,LT50,,,FF,,,,Bannister & Lord 2010,3,,,C,South African plants in the New Zealand winter   ,,Dovyalis,caffra,Plantae,Streptophyta,Pentapetalae,Malpighiales,Salicaceae,77055,,,
plants,angiosperm,Dracophyllum,muscoides,Dracophyllum muscoides,,,,New Zealand Plant Conservation Network,http://www.nzpcn.org.nz/flora_details.aspx?ID=1806,Endemic. New Zealand: South Island (from Mount Hercules southwards to the Princess Mountains,doesnêt go all the way to either RL,remove,~.75 of a degree short of both N & S RL,,NZ,,,165,,-43,,AH,,Terrestrial,,,,,,,,,,,,-8.7,LT50,,0.083,FF,-45.4,170.1,1240,Bannister et al. 2005,1,,,W,Foliage New Zealand FF = processed within 24hrs  ,,Dracophyllum,muscoides,Plantae,Streptophyta,Pentapetalae,Ericales,Ericaceae,688008,used unranked level Pentapetalae,,
plants,angiosperm,Drimys,winteri,Drimys winteri,,,,SanFran bot garden,http://www.sfbotanicalgarden.org/garden/bloom_06_12.shtml,"Winter's Bark can be found from Mexico to Tierra del Fuego. Cant find ref for where it stops in MX, but some sites say 'as far north as MX' so limit in southern MX seems likely.",excl points outside latin america,excl.points,,,,,,,-35,,28,AH,,Terrestrial,,,,,,,,,,,,-7.9,LT50,,,FF,,,,Bannister & Lord 2010,3,,,C,South American plant in NZ Botanical gardens   ,,Drimys,winteri,Plantae,Streptophyta,Magnoliidae,Canellales,Winteraceae,3419,,,
plants,angiosperm,Elaeocarpus,dentatus,Elaeocarpus dentatus,,,,New Zealand Plant Conservation Network,http://www.nzpcn.org.nz/flora_details.aspx?ID=1830,"var dentatus: Endemic. North, and South Islands",missing points from sample location,remove,missing points from sample location,,,,,,,,,AH,,Terrestrial,,,,,,,,,,,,-5.2,LT50,,,FF,-45.9,170.5,70,Bannister & Lord 2010,1,,,W,Foliage New Zealand native range ,,Elaeocarpus,dentatus,Plantae,Streptophyta,Pentapetalae,Oxalidales,Elaeocarpaceae,1406369,used unranked level Pentapetalae,,
plants,angiosperm,Elaeocarpus,reticulatus,Elaeocarpus reticulatus,,,,Australian native plants society: Aus gov,http://anpsa.org.au/e-ret.html; https://www.anbg.gov.au/gnp/interns-2002/elaeocarpus-reticulatus.html,"Rainforest and coastal scrub of south east Queensland, eastern New South Wales, eastern Victoria and King and Flinders Islands in Bass Strait. Aust gov: endemic Australian species, occurring all along the east coast from Fraser Island, Queensland (25 deg) down to Flinders Island, Tasmania. The warmer temperate conditions along the coast suit this species, and it is not found at cooler high altitudes or in areas experiencing frosts.(see maps on sites)",excl points ouside escribed range,excl.points,,,,,,143,155,,-25,AH,,Terrestrial,,,,,,,,,,,,-4.5,LT50,,,FF,,,,Bannister & Lord 2010,3,,,C,Australian plant in NZ Botanical gardens   ,,Elaeocarpus,reticulatus,Plantae,Streptophyta,Pentapetalae,Oxalidales,Elaeocarpaceae,138895,,,
plants,angiosperm,Elegia,capensis,Elegia capensis,,,,PlantZA,http://www.plantzafrica.com/plantefg/elegiacap.htm,"endemic to SA: widespread species in or near the mountain ranges of the western, southern and eastern Cape, as far as Port Elizabeth. The plants grow from near sea level to an altitude of 1 600 m",excl points outside SA,excl.points,,,,,,15,27,,-30,AH,,Terrestrial,,,,,,,,,,,,-5.9,LT50,,,FF,,,,Bannister & Lord 2010,3,,,C,South African plants in the New Zealand winter   ,,Elegia,capensis,Plantae,Streptophyta,Liliopsida,Poales,Restionaceae,311273,,,
plants,angiosperm,Embothrium,coccineum,Embothrium coccineum,,,,Zuniga-Feest etal (2015) Plant & Soil,,temperate forests of Chile and Argentina. Zuniga-Feest etal (2015): in Chile is found from 35ç to 56ç S and from 0 to 1200 m (Rodriguez et al. 1983; Romero 1986),,country.codes,,,CL;AR,,,,,-56,-35,AH,,Terrestrial,,,,,,,,,,,,-7.9,LT50,,,FF,,,,Bannister & Lord 2010,3,,,C,South American plant in NZ Botanical gardens   ,,Embothrium,coccineum,Plantae,Streptophyta,stem eudicotyledons,Proteales,Proteaceae,54937,,,
plants,angiosperm,Encelia,californica,Encelia californica,,,sample location,"Calflora; Contributions from the United States National Herbarium, Volume 23, Parts 4-5",http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=2963,"W N.Am, from S Cali.  Usherb: northern Baja, Calif, Arizona","looks fine except sample point is in ocean, also exclude outlier in S Baja",country.codes,,,US;MX,,,,,26,36,AH,,Terrestrial,,54.8,tmax,,FF,,34.1,-118.6,360,Knight & Ackerly 2002,1,,,,,,,,,,,,,W,FOLIAGE WILD COLLECTED HELD IN THE LAB FOR 6 HOURS   ,,Encella,alifornica,Plantae,Streptophyta,Pentapetalae,Asterales,Asteraceae,183026,species and genus name updated unranked level used,,
plants,angiosperm,Encelia,farinosa,Encelia farinosa,,,,Flora of North America,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=250066497,"0_1000 m; Ariz., Calif., Nev.; Mexico (Baja California, Baja California Sur, Sinaloa, Sonora)",,country.codes,,,US;MX,,,,-107,,38,AH,,Terrestrial,,55.8,tmax,,FF,,43.04,-73,760,Knight & Ackerly 2002,1,,,,,,,,,,,,,W,FOLIAGE WILD COLLECTED HELD IN THE LAB FOR 6 HOURS   ,,Encella,farinosa,Plantae,Streptophyta,Pentapetalae,Asterales,Asteraceae,191181,species name updated unranked level used,,
plants,angiosperm,Epilobium,hirsutum,Epilobium hirsutum,,,,wikipedia,,"The native range of the species includes North Africa, most of Europe up to South of Sweden,[5] and parts of Asia. It is absent from much of Scandinavia and north-west Scotland. It has been introduced to North America and Australia.",missing S RL (N Africa),remove,missing S RL (N Africa),,,,,,,,,AH,,Terrestrial,,45.4,T50,,,0.5,40.3,-3.7,600,Godoy et al 2011,,,,,,,,,,,,,,W,foliage t50 = 50% of initial Fv/Fm values a critical not a lethal temp   ,,Epilobium,hirsutum,Plantae,Streptophyta,Pentapetalae,Myrtales,Onagraceae,210355,unranked level used,,
plants,angiosperm,Erica,cerinthoides,Erica cerinthoides,,,,PlantZA,http://www.plantzafrica.com/plantefg/ericacerinth.htm,"most widely distributed of the heaths in southern Africa. It occurs from the Cedarberg Mountains in the Western Cape, though the Eastern Cape, Transkei, Natal Drakensberg, into Mpumalanga, Lesotho, Swaziland, and as far north as the Soutpansberg in the Northern Province. It is found in different habitats in the Cape where it grows from the coastal plains to the mountain tops.",excl one off shore point,excl.points,,,,,,18,,,,AH,,Terrestrial,,,,,,,,,,,,-4.7,LT50,,,FF,,,,Bannister & Lord 2010,3,,,C,South African plants in the New Zealand winter   ,,Erica,cerinthoides,Plantae,Streptophyta,Pentapetalae,Ericales,Ericaceae,985330,,,
plants,angiosperm,Erica,cruenta,Erica cruenta,,,,SANBI (S Africa National Biodiversity Institute),http://redlist.sanbi.org/species.php?species=1820-223,endemic to western cape along coast (see map),excl point outside western cape,excl.points,,,,,,15,25,,,AH,,Terrestrial,,,,,,,,,,,,-4.9,LT50,,,FF,,,,Bannister & Lord 2010,3,,,C,South African plants in the New Zealand winter   ,,Erica,cruenta,Plantae,Streptophyta,Pentapetalae,Ericales,Ericaceae,985352,,,
plants,angiosperm,Erica,hirtiflora,Erica hirtiflora,,,,PlantZA,http://www.plantzafrica.com/plantefg/ericahirtiflora.htm,"indigenous to the Cape Peninsula and can be seen on the slopes above Kirstenbosch where it is common, turning the montain slopes purple-pink during its flowering season. It occurs from Malmesbury to the Peninsula to Caledon, Riviersonderend and Swellendam.",,excl.points,,,,,,,21,,,AH,,Terrestrial,,,,,,,,,,,,-4.9,LT50,,,FF,,,,Bannister & Lord 2010,3,,,C,South African plants in the New Zealand winter   ,,Erica,hirtifolia,Plantae,Streptophyta,Pentapetalae,Ericales,Ericaceae,985434,species name updated,,
plants,angiosperm,Erica,melanthera,Erica melanthera,,,,SANBI (S Africa National Biodiversity Institute),http://redlist.sanbi.org/species.php?species=1820-577,endemic to S Africa Eastern & Western Cape,,excl.points,,,,,,17,29,,,AH,,Terrestrial,,,,,,,,,,,,-4.2,LT50,,,FF,,,,Bannister & Lord 2010,3,,,C,South African plants in the New Zealand winter   ,,Erica,melananthera,Plantae,Streptophyta,Pentapetalae,Ericales,Ericaceae,985488,species name updated,,
plants,angiosperm,Eriodictyon,californicum,Eriodictyon californicum,,,,Jepson Flora Project,http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=24668,"Calif: NW, CaR, SN, GV, CW; Distribution Outside California: southern Oregon. ",incl points n baja as calflora points go right to border.  Excl outliers,excl.points,,,,,,,-116,,45,AH,,Terrestrial,,52.3,tmax,,FF,,33.5,-117.1,375,Knight & Ackerly 2002,1,,,,,,,,,,,,,W,FOLIAGE WILD COLLECTED HELD IN THE LAB FOR 6 HOURS   ,,Eriodictyon,californicum,Plantae,Streptophyta,Pentapetalae,Boraginales,Boraginaceae,4132,unranked level used,,
plants,angiosperm,Eriogonum,fasciculatum,Eriogonum fasciculatum,,,,Flora of North America,http://www.efloras.org/object_page.aspx?object_id=92308&flora_id=1,"Cali, Utah, Nevada,Arizona, NW MX",,excl.points,,,,,,,-110,26.5,42,AH,,Terrestrial,,57.5,tmax,,FF,,43.04,-73,760,Knight & Ackerly 2002,1,,,,,,,,,,,,,W,FOLIAGE WILD COLLECTED HELD IN THE LAB FOR 6 HOURS   ,,Eriogonum,fasciculatum,Plantae,Streptophyta,Pentapetalae,Caryophyllales,Polygonaceae,429205,unranked level used,,
plants,angiosperm,Eriogonum,latifolium,Eriogonum latifolium,,,,Flora of North America,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=250060361,"along the immediate coast of southwest Oregon (Curry County) and western California (Alameda, Contra Costa, Del Norte, Humboldt, Marin, Mendocino, Monterey, San Francisco, San Luis Obispo, San Mateo, Santa Cruz, and Sonoma counties).",might be on offshore islands but wont include them so get rid of.  Excl those & inland outliers,excl.points,,,,,,,-120.5,34.5,43,AH,,Terrestrial,,56.3,tmax,,FF,,34.1,-118.6,360,Knight & Ackerly 2002,1,,,,,,,,,,,,,W,FOLIAGE WILD COLLECTED HELD IN THE LAB FOR 6 HOURS   ,,Eriogonum,latifolium,Plantae,Streptophyta,Pentapetalae,Caryophyllales,Polygonaceae,429214,unranked level used,,
plants,angiosperm,Eucryphia,cordifolia,Eucryphia cordifolia,,,,wikipedia,https://en.wikipedia.org/wiki/Eucryphia_cordifolia,"The natural habitat is along the Andes Range from 38 to 43çS, and up to 700 meters (2300¾ft) above sea level",none but since know lat range use it,excl.points,,,,,,,,-43,-38,AH,,Terrestrial,,,,,,,,,,,,-5.2,LT50,,,FF,,,,Bannister & Lord 2010,3,,,C,South American plant in NZ Botanical gardens   ,,Eucryphia,cordifolia,Plantae,Streptophyta,Pentapetalae,Oxalidales,Cunoniaceae,92928,,,
plants,angiosperm,Eucryphia,lucida,Eucryphia lucida,,,,Aust gov,https://www.anbg.gov.au/gnp/interns-2005/eucryphia-lucida.html,endemic to wetsern tasmania,excl points outside tasmania,excl.points,,,,,,144,,,-38,AH,,Terrestrial,,,,,,,,,,,,-11,LT50,,,FF,,,,Bannister & Lord 2010,3,,,C,Australian plant in NZ Botanical gardens   ,,Eucryphia,lucida,Plantae,Streptophyta,Pentapetalae,Oxalidales,Cunoniaceae,3791,,,
plants,angiosperm,Euryops,pectinatus,Euryops pectinatus,,,,Kew,http://www.kew.org/science-conservation/plants-fungi/euryops-pectinatus-golden-daisy-bush,Restricted to South Africa where it is found in the south-western Cape from Gifberg to the South Peninsula.,,excl.points,,,,,,17,20,,-30,AH,,Terrestrial,,,,,,,,,,,,-4.9,LT50,,,FF,,,,Bannister & Lord 2010,3,,,C,South African plants in the New Zealand winter   ,,Euryops,pectinatus,Plantae,Streptophyta,Pentapetalae,Asterales,Asteraceae,109563,,,
plants,angiosperm,Euryops,virgineus,Euryops virgineus,,,,PlantZA,http://www.plantzafrica.com/plantefg/euryopvirgin.htm,"endemic to southern Africa and occurs naturally in the southern coastal areas from Bredasdorp in Western Cape to Alexandria in Eastern Cape, often at low altitudes. It extends inland into the Swartberg Mountains to about 1 200 m.",,excl.points,,,,,,17,26.6,,-31,AH,,Terrestrial,,,,,,,,,,,,-4.8,LT50,,,FF,,,,Bannister & Lord 2010,3,,,C,South African plants in the New Zealand winter   ,,Euryops,virgineus,Plantae,Streptophyta,Pentapetalae,Asterales,Asteraceae,112409,,,
