dataset shorthand,Genus (queried GBIF),Species (queried GBIF),Species.name (queried GBIF),reason no map,IUCN?,Range source,Range source website,Range description,Range errors,"Action (fine = no action needed; fine.unconfirmed = gbif records look good but no good info to check against; excl.points=exclude points according to code (lats, longs & gbifIDs); country.codes = use country codes as well as lats/longs/gbifIDs; remove.use.IUCN = remove from GBIF pipeline & use IUCN map; remove = unsolveable range errors, remove species entirely",Action remove explanation,countries in range,country.codes,gbifIDs.to.excl,code to get gbifIDs to excl,excl.lon.above,excl.lon.below,excl.lat.above,excl.lat.below,who did final code,range disjunct,potential good gbif range for IUCN comp,Realm,Body Mass,tmax,tmax_metric,Sex,tmax_pretreatment,Rate of change (ramping temp) C/MIN,latctmax,longctmax,elevationctmax,REF_ctmax,location_ctmax,ctmin,tmin_metric,sex,Rate of change (ramping temp) c/min,tmin_pretreatment,latctmin,longctmin,elevationctmin,REF_ctmin,location_ctmin,Thropic position,dataset,birth Wild or Captive,thermal tolerance notes,original order,Genus (sDIV dataset May),Species (sDIV dataset May),Kingdom,Phylum,Class,Order,Family,NCBI.UID,NCBI change,name changed from sDIV to NCBI,name disagreement,issues GBIF-queried vs NCBI names,name action,name action outcome
none - already removed,Aenictus,sp,NA,NO SP,,none,,,no species name,remove,.,,,,,,,,,NA,,.,terrestrial,,43.75,ctmax,,25,0.2,4.05,114.81,0,Diamond_et_al2012,1,,,,,,,,,,,,,,,736,Aenictus,sp.,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,NA,,,,,,
original,Afrinus,sp,NA,NO SP,,NA,,,no species name,remove,.,,,,,,,,,RL,,.,terrestrial,0.02,NA,NA,,,,,,,,,-6.8,LT50,,0.1,6,-32.4,20.5,1550,Sinclair_et_al2005,1,,PNAS,,,8,Afrinus,sp,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,NA,genus not in NCBI based on family,,,,,
original,Agabus,brunneus,Agabus brunneus,,,Hidalgo-Galiana et al. 2014. http://www.biomedcentral.com/1471-2148/14/187,,"Hidalgo: (also see range map in paper) Agabus brunneus has a wide distribution through North Africa and western Europe, including the Iberian and Italian peninsulas, some Mediterranean islands (Elba, Sicily) and France, with isolated populations in southern England ([16]; Figure 1). Some old, isolated records in the eastern Mediterranean (Greece, Syria) with all probability refer to other species ",,remove,new map missing NW Africa & France,,,,,,,,,AH,,.,freshwater,0.04,46.4,LT100,,20.5,1,36,-6.3,135,Calosi_et_al2008a,1,-8.5,LT100,,1,14.5,36,-6.3,135,Calosi_et_al2008a,1,,NCC,,,9,Agabus,brunneus,Animalia,Arthropoda,Insecta,Coleoptera,Dytiscidae,107771,,,,,,
original,Agabus,didymus,Agabus didymus,,,ask Piero / DOI: 10.1111/j.1365-2699.2007.01787.x,,from Central Morocco to Scotland (West European),missing france & central morrocco,remove,missing S RL (Morrocco),,,,,,,,,RL,,.,freshwater,0.04,44.8,LT100,,20.5,1,38,-2.56,1224,Calosi_et_al2008a,1,-9,LT100,,1,14.5,38,-2.56,1224,Calosi_et_al2008a,1,,NCC,,,10,Agabus,didymus,Animalia,Arthropoda,Insecta,Coleoptera,Dytiscidae,156918,,,,,,
original,Agabus,ramblae,Agabus ramblae,,,Hidalgo-Galiana et al. 2014. http://www.biomedcentral.com/1471-2148/14/187,, from Central Morocco to North-Central Spain,"Morrocan range sparesly sampled but overall looks good, matches description",fine,.,,,,,,,,,AH,,.,freshwater,0.03,44.5,LT100,,20.5,1,37.5,-1.9,533,Calosi_et_al2008a,1,-6.8,LT100,,1,14.5,37.5,-1.9,533,Calosi_et_al2008a,1,,NCC,,,11,Agabus,ramblae,Animalia,Arthropoda,Insecta,Coleoptera,Dytiscidae,207456,,,,,,
original,Agabus,rufulus,Agabus rufulus,NO GBIF,,NA,,,NO GBIF,remove,.,,,,,,,,,RL,,.,freshwater,0.04,43.1,LT100,,20.5,1,40.5,8.5,260,Calosi_et_al2008a,1,-8,LT100,,1,14.5,40.5,8.5,260,Calosi_et_al2008a,1,,NCC,,,12,Agabus,rufulus,Animalia,Arthropoda,Insecta,Coleoptera,Dytiscidae,207457,,,,,,
original,Agkistrodon,contortrix,Agkistrodon contortrix,IUCN,Y,IUCN,,http://maps.iucnredlist.org/map.html?id=64297,,remove.use.IUCN,.,Mexico; United States,MX;US,895425702;895425695;895425782;895425808;543618141,,,,,,RL,,Y,terrestrial,178.7,40.6,ctmax,,NA,NA,35.3337,-90.0684,78,Sanders&Jacob1981,1,6.9,ctmin,,NA,NA,35.3337,-90.0684,78,Sanders&Jacob1981,1,,Clusella-Trullas,,,13,Agkistrodon,contortrix,Animalia,Chordata,Lepidosauria,Squamata,Viperidae,8720,,,,,,
outstanding,Agosia,chrysogaster,Agosia chrysogaster,,Y,Fishbase,,North America: lower Colorado River drainage (primarily Gila and Bill William River systems) in New Mexico and Arizona; USA and south through southern Arizona and Pacific drainages of western Mexico.,points ouside descr. Range,remove.use.IUCN,.,,,624060054;473383673,,,,,,AH,,Y,freshwater,,38.2,ctmax,,25,0.3,33,-111,1000,Carveth et al 2011,1,,,,,,,,,,,,,,,888,Agosia,chrysogaster,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,86938,,,,,,
original,Agroeca,proxima,Agroeca proxima,,,SRS British Spiders,,The species is widely distributed throughout Britain. It is fairly widespread in north-western and central Europe as far north as Sweden.,excl <46lat - not central europe,excl.points,.,,,,,,,,46,AH,,.,terrestrial,,37.4,ctmax,,15,0.5,55.4,14.19,3,Almquist1970,1,-6.7,LT50,,0.02,4,55.4,14.19,3,Almquist1970,1,,NCC,,same population but with winter and summer mesurments ,14,Agroeca,proxima,Animalia,Arthropoda,Arachnida,Araneae,Liocranidae,NA,,,,,,
original,Alcolapia,grahami,Alcolapia grahami,IUCN,Y,IUCN,,http://maps.iucnredlist.org/map.html?id=60453,,remove.use.IUCN,.,Kenya; United Republic of Tanzania,KE;TZ,,,,,,,RL,,N,freshwater,,40,LT100,,NA,,-1.897,36.2,650,Reite_et_al1973,1,16,LT100,,NA,NA,-1.897,36.2,650,Reite_et_al1973,1,,NCC,,,16,Alcolapia,grahami,Animalia,Chordata,Actinopteri,Perciformes,Cichlidae,87886,"NCBI (Cichliformes) but it is not in the tree of life, all other classifications place it in Perciformes",,,,,
outstanding,Alosa,pseudoharengus,Alosa pseudoharengus,,,Fishbase,,North America: Atlantic coast from the Gulf of St. Lawrence and Nova Scotia to North Carolina and in streams and rivers; also occurs in Lake Seneca and Cayuga; introduced into Lake Ontario; now landlocked there and in Lakes Erie; Huron; Michigan and Superior.,introduced to many places,remove,introduced,,,,,,,,,RL,,.,freshwater,,32.8,ctmax,,25,0.3,42.4,-87.8,180,Otto et al.; (1976),1,6,,LT50,na,21,42.4,-87.8,180,Otto et al.; (1976),1,,,,only says rate of cooling was abupt ,981,Alosa,pseudoharengus,Animalia,Chordata,Actinopteri,Clupeiformes,Clupeidae,34774,,,,,,
outstanding,Amblyopone,pallipes,Amblyopone pallipes,,,Mississipps entomological museum ,http://mississippientomologicalmuseum.org.msstate.edu/Researchtaxapages/Formicidaepages/genericpages/Amblyopone.pallipes.html,"Ont., Que, south to FL, west to WI, IA, OK, CO, TX, AZ (Smith, D. R., 1979); found in all of the southeastern states including AL, AR, FL, GA, LA, MO, MS, NC, SC, TN.","missing northern range (ON, QC)",remove,"missing N RL (ON, QC)",,,,,,,,,RL,,.,terrestrial,,40,ctmax,,25,0.2,35.78,-78.8,146,Diamond_et_al2012,1,,,,,,,,,,,,,,,737,Amblyopone,pallipes,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,231980,,,,,,
original,Ambystoma,jeffersonianum,Ambystoma jeffersonianum,,Y,IUCN,,http://maps.iucnredlist.org/map.html?id=59059,,remove.use.IUCN,.,,,911540578;657351688;895435173;861694128,,,,,,NA,,Y,terrestrial,,34,ctmax,,10,NA,40.23,-76.85,422.2,Gatz1971,1,NA,NA,,,0,40.23,-76.85,422.2,Gatz1971,,,PNAS,,,17,Ambystoma,jeffersonianum,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,8297,,,,,,
original,Ambystoma,macrodactylum,Ambystoma macrodactylum,,Y,IUCN,,http://maps.iucnredlist.org/map.html?id=59063,,remove.use.IUCN,.,,,143470330;657353271;657489935;888962052;543574482;861691700;884600445,procOcc$lat<35|procOcc$lon>(-112),-112,,,35,NA,,Y,terrestrial,,35,ctmax,,20,0.5,44.9,-117.22,1140,Howard_et_al1983,1,NA,NA,,,0,45.5,-117.22,2470,Howard_et_al1983,,,PNAS,,,18,Ambystoma,macrodactylum,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,43111,,,,,,
original,Ambystoma,maculatum,Ambystoma maculatum,IUCN,Y,IUCN,,http://maps.iucnredlist.org/map.html?id=59064,some extra points and parts of range missing,remove.use.IUCN,.,,,,,,,,,NA,,Y,terrestrial,,38.5,ctmax,B,15,,35.55,-91.62,184,Sealander1969,1,NA,NA,,,0,35.55,-91.62,184,Sealander1969,,,PNAS,,,19,Ambystoma,maculatum,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,43114,,,,,,
outstanding,Ameiurus,melas,Ameiurus melas,,,Fishbase,,North America: Great Lakes to northern Mexico. Confusion over the taxonomic status of this species together with Ameiurus nebulosus resulted in more doubts as to which of the two is present in some countries. In Europe it forms dense stunted populations which makes it unpopular. Several countries report adverse ecological impact after introduction (Ref. 1739). In Europe; self-sustaining populations recorded from Ebro and Tagus drainages (Iberian Peninsula); most drainages of France; locally in Italy; the Netherlands and Germany; distribution coud be wider (Ref. 59043),introduced to europe,excl.points,.,,,,procOcc$lon>(-45)|procOcc$lat<21,-45,,,21,RL,,.,freshwater,,38.1,ctmax,,26,0.017,39,-91,150,Smale & Rabeni (1995) ,1,,,,,,,,,,,,,,,957,Ameiurus,melas,Animalia,Chordata,Actinopteri,Siluriformes,Ictaluridae,219545,,,,,,
outstanding,Ameiurus,natalis,Ameiurus natalis,,,Fishbase,,North America: Atlantic and Gulf slope drainages from New York to northern Mexico; and St. Lawrence-Great Lakes and Mississippi river basins from southern Quebec west to central North Dakota; and south to the Gulf. At least one country reports adverse ecological impact after introduction.,native to N America,excl.points,.,,,,procOcc$lon>0 | procOcc$lon<(-104),0,-104,,,RL,,.,freshwater,,37.9,ctmax,,26,0.017,39.5,-91.5,200,Smale & Rabeni (1995) ,1,,,,,,,,,,,,,,,958,Ameiurus,natalis,Animalia,Chordata,Actinopteri,Siluriformes,Ictaluridae,66912,,,,,,
original,Ameiva,festiva,Ameiva festiva,,,Reptile database,,"S Mexico; Guatemala; Belize; Honduras; El Salvador ?; Nicaragua; Costa Rica; Panama; Colombia; elevation: 100-1000 m
edwardsii: Atlantic foothills from the Isthmus of Tehuantepec through Honduras; in heavy forests. Chiapas. Type locality: Izabal and Santa Marêa de Panz_s; near Rêo Polochic; Guatemala. Restricted to Panz_s by SMITH & TAYLOR 1950.
festiva: Panama; N Colombia; Type locality: _Veragoaî (= Santiago de Veragua; Panama).
occidentalis: Costa Rica.",,excl.points,.,,,371110153,,-20,,,,AH,,.,terrestrial,,43.7,ctmax,,NA,1,10.5,-84,50,vanBerkum1988,1,15.5,ctmin,,1,NA,10.5,-84,50,vanBerkum1988,1,,NCC,,,20,Ameiva,festiva,Animalia,Chordata,Lepidosauria,Squamata,Teiidae,1382602,,,,,,
original,Ameiva,quadrilineata,Ameiva quadrilineata,IUCN,Y,IUCN,,http://maps.iucnredlist.org/map.html?id=178482,parts of range missing,remove.use.IUCN,.,Costa Rica; Nicaragua; Panama,CR;NI;PA,,,,,,,RL,,N,terrestrial,25.5,45.1,ctmax,,FF,,10.5667,-83.5333,27,Hirth1963,1,NA,ctmin,,,,NA,,NA,,,,Clusella-Trullas,,,21,Ameiva,quadrilineata,Animalia,Chordata,Lepidosauria,Squamata,Teiidae,171127,,,,,,
original,Amphibolurus,muricatus,Amphibolurus muricatus,,,Cogger (ed) Reptiles & Amphibians of Australia. 2000 (First published 1975). Ralph Curtis publishing. Florida,,Coastal southeast Australia (New South Wales; Victoria),points in W Australia and Queensland,excl.points,.,,,482491606;621070687;482875231;894768664;657397679;657397680;543667435;543667449;884734301;690968105;690967426;476646598;500725636;500793910;482181859;621070687;657397680;657397679;884734301;690966230;690967871;690968105;500719780;476646598,procOcc$lon<(141) & procOcc$lat>(-35.5),,140,-27,,AH,,.,terrestrial,22,42.3,ctmax,,NA,NA,-30.5167,151.65,1013,Spellerberg1972,2,3,ctmin,,,NA,-30.5167,151.65,1013,Spellerberg1972,2,,Clusella-Trullas,,,22,Amphibolurus,muricatus,Animalia,Chordata,Lepidosauria,Squamata,Agamidae,116113,,,,,,
Aug 13 redos name changes,Anax,junius,Anax junius,,,IUCN (but map is no good),,"This species occurs in nine provinces in Canada, fifty one states in the United States of America, eighteen states in Mexico, Kamchatka in the Russian Federation and many Caribbean Islands within the Greater and Lesser Antilles.","missing northern part of range in Canada, Russia, and Alaska",remove,missing N RL,,,,,,,,,AH,,.,terrestrial,1.04,45.6,ctmax,,25,NA,29.6,-82.3,55,May-78,1,NA,NA,,,,,,,,,,,,,15,Aiax,junius,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,214820,,genus change,,genus name error,retry GBIF,fresh range data
original,Anaxyrus,compactilis,Anaxyrus compactilis,IUCN,Y,IUCN,,http://maps.iucnredlist.org/map.html?id=54613,lots of extra points,remove.use.IUCN,.,,,,,,,,,NA,,Y,terrestrial,,36.9,ctmax,,30,1,22,-102,1524,Brattstrom1968,,,,,,,,,,,,,,,,24,Anaxyrus,compactilis,Animalia,Chordata,Amphibia,Anura,Bufonidae,NA
original,Anniella,pulchra,Anniella pulchra,,Y,IUCN,http://maps.iucnredlist.org/map.html?id=62227,,some extra points,remove.use.IUCN,.,,,657435320;657348153;476750791;866183059,procOcc$lon>(-114),-114,,,,AH,,Y,terrestrial,2.8,34,ctmax,,,,34.0147,-118.8139,38,Brattstrom1965,1,NA,ctmin,,,,NA,,NA,,,,Clusella-Trullas,,,25,Anniella,pulchra,Animalia,Chordata,Lepidosauria,Squamata,Anniellidae,51957
original,Anodontia,bullula,Anodontia bullula,,,SeaLifeBase,,Eastern Indian Ocean: Australia.,exclude points ouside Australia,excl.points,.,,,,procOcc$lat>1|procOcc$lon<57,,57,1,,RL,,.,intertidal,,36.31,LT50,,25,NA,-17,122,0,Compton_et_al2007,1,7.17,LT50,,NA,25,-17,122,0,Compton_et_al2007,1,,NCC,,,26,Anodontia,bullula,Animalia,Mollusca,Bivalvia,Lucinoida,Lucinidae,244459
original,Anolis,auratus,Anolis auratus,,,Reptile database,http://reptile-database.reptarium.cz/species?genus=Anolis&species=auratus,Costa Rica to northern brasil,some extra points,excl.points,.,"Costa Rica; Panama; Venezuela; Colombia; Ecuador; French Guiana
Brazil",CR;PA;VE;CO;EC;GF;BR,,procOcc$lat>(14),,,14,-5,AH,,.,terrestrial,1.2,40,ctmax,,NA,NA,9.1636,-79.8378,79,Ballinger_et_al1970,1,NA,ctmin,,,,NA,,NA,,,,Clusella-Trullas,,,27,Anolis,auratus,Animalia,Chordata,Lepidosauria,Squamata,Iguanidae,323568
original,Anolis,barbouri,Anolis barbouri,,,Reptile database,,Hispaniola; (S Haiti; W Dominican Republic),,fine,.,,,,,,,,,RL,,.,terrestrial,1.2,34.9,ctmax,,,NA,18.25,-71.2167,12,Autumn&Losos1997,1,11.7,ctmin,,NA,,18.25,-71.2167,13,Autumn&Losos1997,1,,Clusella-Trullas,,Rates estimated (6.1 C; methods following Spellerberg [1972]) Lizards took about 2-3 min to cool from room temperature to Ctmin; 10-16 min to heat from room temperature to Ctmax,28,Anolis,barbouri,Animalia,Chordata,Lepidosauria,Squamata,Iguanidae,38884
original,Anolis,carolinensis,Anolis carolinensis,,Y,IUCN,,http://maps.iucnredlist.org/map.html?id=64188,lots of extra points,remove.use.IUCN,.,,,,procOcc$lon<(-101)|procOcc$lon>(-6)|procOcc$lat>37|procOcc$lat<23,-6,-101,37,23,RL,,Y,terrestrial,4,41.7,ctmax,,NA,1,31.3208,-91.53,0,vanBerkum1988,1,4.7,ctmin,,1,NA,31.3208,-91.53,0,vanBerkum1988,1,,Clusella-Trullas,,,29,Anolis,carolinensis,Animalia,Chordata,Lepidosauria,Squamata,Iguanidae,28377
original,Anolis,cooki,Anolis cooki,,,NA,,no but common name = Puerto rican anolis so assume endemic,,fine,.,,,,,,,,,RL,,.,terrestrial,,38.8,ctmax,,NA,,18.1,-66.9,0,Huey_unpubl_data,,9.3,ctmin,,,NA,18.1,-66.9,0,Huey_unpubl_data,1,,NCC,,,30,Anolis,cooki,Animalia,Chordata,Lepidosauria,Squamata,Iguanidae,235300
original,Anolis,cristatellus,Anolis cristatellus,,,Reptile database,,Puerto Rico; (including many offshore islands); Isla Vieques; Isla Culebra; Isla Culebrita; Virgin Islands; Isla de Cabras; Punta Salinas; Island Cayo; Ratones (near Jobos; Puerto; Rico); Skipper; Cay; (south of Key Point; Peter Island; British Virgin Islands; e.g. Anegada); Dominica (THORPE cited in; POWELL & HENDERSON; 2004),one extra point in Haiti,excl.points,.,,,,procOcc$lon<(-70) | procOcc$lat<0 ,,-70,,0,RL,,.,terrestrial,,37.1,ctmax,,NA,,18.5,-66.135,6.5,Huey1983,1,8.9,ctmin,,,NA,18.5,-66.135,5.6,Huey1983,1,,NCC,,,31,Anolis,cristatellus,Animalia,Chordata,Lepidosauria,Squamata,Iguanidae,38889
original,Anolis,cupreus,Anolis cupreus,,,Reptile database,,Honduras; Nicaragua; Costa Rica,,excl.points,.,Honduras; Nicaragua; Costa Rica,HN;NI;CR,1061367990,,,,20,,RL,,.,terrestrial,1.6,38.4,ctmax,,NA,NA,10.6333,-85.4333,100,vanBerkum1986,1,11.8,ctmin,,NA,NA,10.6333,-85.4333,100,vanBerkum1986,1,,Clusella-Trullas,,,32,Anolis,cupreus,Animalia,Chordata,Lepidosauria,Squamata,Iguanidae,323579
original,Anolis,cybotes,Anolis cybotes,,,Reptile database,,Hispaniola; Haiti; Dominican Republic; Ile Grande Cayemite; Ile de la Tortue; Ile a Vache; Ile a Cabrit; Ile de la Gonave; Isla Saona; Isla Catalina; Isla Catalinita,,excl.points,.,,,911914505;686959513;686959515,,-20,,,,AH,,.,terrestrial,6.4,40.1,ctmax,,31.4,NA,18.1833,-71.0667,5,Hertz&Huey1981,1,NA,ctmin,,,,NA,,NA,,,,Clusella-Trullas,,FF,33,Anolis,cybotes,Animalia,Chordata,Lepidosauria,Squamata,Iguanidae,38891
original,Anolis,distichus,Anolis distichus,,,Reptile database,,,"gbif points all over, not contiguous, rmove",remove,sparsely sampled,,,,,,,,,AH,,.,terrestrial,2.4,38.6,ctmax,,20,NA,25.7739,-80.1939,0,Corn1971,1,NA,ctmin,,,,NA,,NA,,,,Clusella-Trullas,,,34,Anolis,distichus,Animalia,Chordata,Lepidosauria,Squamata,Iguanidae,38893
original,Anolis,evermanni,Anolis evermanni,,,Reptile database,,Puerto Rico,,excl.points,.,,,1051099317,,,,,,RL,,.,terrestrial,4.9,38.9,ctmax,M,30,NA,18.2706,-65.9092,594,Heatwole_et_al1969,1,NA,ctmin,,,,NA,,NA,,,,Clusella-Trullas,,,35,Anolis,evermanni,Animalia,Chordata,Lepidosauria,Squamata,Iguanidae,235305
original,Anolis,frenatus,Anolis frenatus,,,Reptile database,,Costa Rica; Panama; Colombia (Caribbean),,excl.points,.,,,727777708,procOcc$lon>(-70),-70,,,,RL,,.,terrestrial,51.7,35.7,ctmax,,NA,NA,9.1636,-79.8378,79,Ballinger_et_al1970,1,NA,ctmin,,,,NA,,NA,,,,Clusella-Trullas,,,36,Anolis,frenatus,Animalia,Chordata,Lepidosauria,Squamata,Iguanidae,323581
original,Anolis,gundlachi,Anolis gundlachi,,,Reptile database,,Puerto Rico,,fine,.,,,,,,,,,RL,,.,terrestrial,6,35.7,ctmax,,20,1.75,18.2922,-66.7922,350,Huey&Webster1976,1,6.3,ctmin,,,NA,18.2,-66.135,NA,Huey_unpubl_data,1,,Clusella-Trullas,,,37,Anolis,gundlachi,Animalia,Chordata,Lepidosauria,Squamata,Iguanidae,235308
