dataset.shorthand,type,Species.name.olsdrange.mergedw.sdiv,,Species.name.gbifquery,reason.no.map,IUCN,to.check,Range.source,Range.source.website,Range.description,Range.errors,Action..fine...no.action.needed..fine.unconfirmed...gbif.records.look.good.but.no.good.info.to.check.against..excl.points.exclude.points.according.to.code..lts..longs...gbifIDs...country.codes...use.country.codes.as.well.as.lats.longs.gbifIDs..remove.use.IUCN...remove.from.GBIF.pipeline...use.IUCN.map..remove...unsolveable.rnage.errors..remove.species.entirely..partial.range...use.only.the.part.of.the.range.where.the.thermal.tolerance.data.come.from..for.sp.with.disjunct.distributions.in.multiple.coasts.continents..,Action.remove.explanation,countries.in.range,country.codes,gbifIDs.to.excl,code.to.get.gbifIDs.to.excl,excl.lon.below,excl.lon.above,excl.lat.below,excl.lat.above,who.did.final.code,potential.good.gbif.range.for.IUCN.comp,Realm,Body.Mass,tmax,tmax_metric,max_interval_after_LT0,tmax.1,max_metric,max_interval_before_lt100,measure,max_pretreatment,max_ramp,lat_max,long_max,elevation_max,REF_max,location_max,breadth,tmin,min_metric,min_interval_after_lt0,tmin.1,min_metric.1,min_interval_before_lt100,min_metric_com,measure.1,min_pretreatment,lat_min,long_min,elevation_min,REF_min,location_min,Phylum,Class,Order,Family,NOTES,Genus_book,Species_book,in.book,photo.order,name_notes
plants,algae,Laminaria latissima,,Laminaria saccharina,,,,"SEAWEEDS: A COLOUR GUIDE TO COMMON BENTHIC GREEN, BROWN AND RED ALGAE OF THE WORLDS OCEANS",,"N and NE Atlantic (Greenland to Portugal, North Sea, Baltic); NW Atlandtic (Canadian Arctic to Masschusetts); NE Pacific (Alaska to California)",Seems E. Atlantic not sufficiently sampled. Pacific range missing California. Euro range ok.,partial.range,use euro range where sampled,NA,NA,,NA,-45,45,NA,NA,JS-2016,NA,Intertidal,NA,21,LT0,1,22,LT100,1,NA,NA,NA,54.19261,7.86732,0,L始ing_1980,1,,NA,,,NA,,NA,,,NA,NA,NA,NA,,NA,Phaeophyceae,Phaeophyceae,Laminariales,Laminariaceae,,Laminaria,saccharina,76.7,22,name did not yeild a map so updated name
plants,algae,Laminaria setchellii,,Laminaria setchellii,,,,"SEAWEEDS: A COLOUR GUIDE TO COMMON BENTHIC GREEN, BROWN AND RED ALGAE OF THE WORLDS OCEANS",,Alaska to Mexico.,Exclude point in E. Asia,excl.points,,NA,NA,,NA,NA,-45,NA,NA,JS-2016,NA,Marine,NA,18.4,LT0,1,NA,,NA,NA,NA,NA,49.087512,-126.314624,0,Tom_Dieck_Bartsch_1992,1,,0,gmin,5,NA,,NA,,,NA,49.087512,-126.314624,0,Tom_Dieck_Bartsch_1992,1,Phaeophyceae,Phaeophyceae,Laminariales,Laminariaceae,CTMIN = loose of growth,,,76.8,23,
plants,algae,Macrocystis pyrifera,,Macrocystis pyrifera,,,,"SEAWEEDS: A COLOUR GUIDE TO COMMON BENTHIC GREEN, BROWN AND RED ALGAE OF THE WORLDS OCEANS",,"SW Atlantic (Uruguay): Indian Ocean; NE Pacific (Alaska to California); SE Pacific (Chile); Australiasia (SE-Tasmania, New Zealand); Sub-Antarctica",N Pacific Range well-covered. Northern edge of S. American range iffy. Aussie points well-covered. Sampled South America; use only Pacific range,excl.points,Use only N. American range,NA,NA,996826122;25144401;25144398;25144385;25144388;25144391;1055797713;1299973266;1299973260;1057164296;57140840;1305321612;1057040659;1299973230;1305321597,NA,NA,NA,NA,NA,JS-2016,NA,Marine,NA,24.8,LT0,1,NA,,NA,NA,NA,NA,-39.86119,-73.414287,0,Peters_&_Breeman_1993,1,,-5.6,LT50,,NA,,NA,lethal,lethal,NA,-45.95,170.333333,0,frazer_et_al_1988,1,Phaeophyceae,Phaeophyceae,Laminariales,Laminariaceae,,,,79.2,24,
plants,algae,Nereocystis luetkeana,,Nereocystis luetkeana,,,,"SEAWEEDS: A COLOUR GUIDE TO COMMON BENTHIC GREEN, BROWN AND RED ALGAE OF THE WORLDS OCEANS",,Alaska to Central California; Commander Island,,fine,,NA,NA,,NA,NA,NA,NA,NA,JS-2016,NA,Intertidal,NA,18,LT0,2,20,LT100,2,NA,NA,NA,48.536683,-123.015409,0,L始ing_&_Freshwater_1988,1,,NA,,,NA,,NA,,,NA,NA,NA,NA,,NA,Phaeophyceae,Phaeophyceae,Laminariales,Laminariaceae,low littoral to sublittoral,,,80.1,25,
plants,algae,Ascoseira mirabilis,,Ascoseira mirabilis,,,,"SEAWEEDS: A COLOUR GUIDE TO COMMON BENTHIC GREEN, BROWN AND RED ALGAE OF THE WORLDS OCEANS",,"Endemic to Antractica (Antractic Peninsula, South Shetland Is., Southr Orkney Is.) ",,fine,,NA,NA,,NA,NA,NA,NA,NA,JS-2016,NA,Marine,NA,11,LT0,1,NA,,NA,NA,NA,NA,-61.934135,-57.901964,0,Wiencke_and_torn_Dieck_1989,1,,NA,,,NA,,NA,,,NA,NA,NA,NA,,NA,Phaeophyceae,Phaeophyceae,Ascoseirales,Ascoseirales,,,,83.1,26,
plants,algae,Fucus gardneri,,Fucus gardneri,,,,"SEAWEEDS: A COLOUR GUIDE TO COMMON BENTHIC GREEN, BROWN AND RED ALGAE OF THE WORLDS OCEANS",,"Bering Sea, Alaska to Central California","points in Atlantic to remove, plus point on land",excl.points,,NA,NA,919100106;617151633;919100115;919110164;617130754,NA,NA,NA,NA,NA,JS-2016,NA,Intertidal,NA,23,LT0,2,25,LT100,2,NA,NA,NA,48.536683,-123.015409,0,L始ing_&_Freshwater_1988,1,,NA,,,NA,,NA,,,NA,NA,NA,NA,,NA,Phaeophyceae,Phaeophyceae,Fucales,Fucaceae,low littoral to sublittoral,,,94.2,27,
plants,algae,Fucus spiralis,,Fucus spiralis,,,,"SEAWEEDS: A COLOUR GUIDE TO COMMON BENTHIC GREEN, BROWN AND RED ALGAE OF THE WORLDS OCEANS",,"NE Atlantic (Scandinavia to Canary Is, North Sea, Baltic); NW Atlantic (Newfoundland to New York); W Mediterranean (Spain, Morocco); NE Pacific (Alaska to Washington)",,remove,Thermal tolerance is from Europe where there is no range data,NA,NA,,NA,NA,NA,NA,NA,KF-2016,NA,Intertidal,NA,28,LT0,2,30,LT100,2,NA,NA,NA,54.19261,7.86732,0,L始ing_1984,1,,NA,,,NA,,NA,,,NA,NA,NA,NA,,NA,Phaeophyceae,Phaeophyceae,Fucales,Fucaceae,,,,94.4,28,
plants,algae,Fucus spiralis,,Fucus spiralis,,,,"SEAWEEDS: A COLOUR GUIDE TO COMMON BENTHIC GREEN, BROWN AND RED ALGAE OF THE WORLDS OCEANS",,"NE Atlantic (Scandinavia to Canary Is, North Sea, Baltic); NW Atlantic (Newfoundland to New York); W Mediterranean (Spain, Morocco); NE Pacific (Alaska to Washington)",,partial.range,,NA,NA,617130754,procOcc$lon>(-128) & procOcc$lat>(55),NA,-90,40,NA,KF-2016,NA,Intertidal,NA,25,LT0,3,28,LT100,3,NA,NA,NA,48.536683,-123.015409,0,L始ing_&_Freshwater_1988,1,,NA,,,NA,,NA,,,NA,NA,NA,NA,,NA,Phaeophyceae,Phaeophyceae,Fucales,Fucaceae,,,,94.4,28,
plants,algae,Fucus vesiculosus,,Fucus vesiculosus,,,,"SEAWEEDS: A COLOUR GUIDE TO COMMON BENTHIC GREEN, BROWN AND RED ALGAE OF THE WORLDS OCEANS",http://www.polarresearch.net/index.php/polar/article/view/25994 https://repositorio.uac.pt/bitstream/10400.3/2031/1/2005_Tittley%26eto_botmar.pdf,N and NE Atlantic (Greenland to Canary Is); NW Atlantic (Canadian Arctic to Caribbean); W Mediterranean (Spain). And in Svalbard. ,"Canadian Arctic ill-represented. Use Euro range. Exclude points in the Azores, as F. spiralis was misidentified here as F. vesiculosus.",partial.range,use euro range (and exclude southern and western outliers),NA,NA,1055380670,procOcc$lon<(-25) & procOcc$lon>(-45),-45,90,NA,NA,KF-2016,NA,Intertidal,NA,28,LT0,2,30,LT100,2,NA,NA,NA,54.19261,7.86732,0,L始ing_1984,1,,NA,,,NA,,NA,,,NA,NA,NA,NA,,NA,Phaeophyceae,Phaeophyceae,Fucales,Fucaceae,,,,94.5,29,
plants,algae,Sargassum muticum,,Sargassum muticum,,,,"SEAWEEDS: A COLOUR GUIDE TO COMMON BENTHIC GREEN, BROWN AND RED ALGAE OF THE WORLDS OCEANS",,"Highy invasive: originally from Japan, it now colonizes large parts of the NE Atlantic (Norway to N-Spain, North Sea), W. Mediterranean, northern Pacific: Japan, Alaska to Mexico.",includes much of invaded range; could use just Japan range; but was sampled in British Columbia; remove.,remove,sampled outside of native range,NA,NA,,NA,NA,NA,NA,NA,KF-2016,NA,Intertidal,NA,28,LT0,2,30,LT100,2,NA,NA,NA,48.536683,-123.015409,0,L始ing_&_Freshwater_1988,1,,NA,,,NA,,NA,,,NA,NA,NA,NA,,NA,Phaeophyceae,Phaeophyceae,Fucales,Sargassaceae,,,,101.11,30,
