"range","equ_of","pol_of","equ_op","pol_op","weighted_equ_of","weighted_pol_of","weighted_equ_op","weighted_pol_op","species","source"
"Liolaemus.quilmes_GBIF",0,4,876,24,0,52,23214,36,"Liolaemus quilmes","GBIF"
"Liolaemus.riojanus_IUCN",0,6,836,0,0,114,25916,0,"Liolaemus riojanus","IUCN"
"Liolaemus.robertmertensi_IUCN",0,5,693,0,0,85,18711,0,"Liolaemus robertmertensi","IUCN"
"Liolaemus.rothi_IUCN",0,17,999,0,0,442,38961,0,"Liolaemus rothi","IUCN"
"Liolaemus.rothi_GBIF",0,39,999,0,0,1092,39460.5,0,"Liolaemus rothi","GBIF"
"Liolaemus.salinicola_IUCN",0,4,685,0,0,68,18837.5,0,"Liolaemus salinicola","IUCN"
"Liolaemus.scapularis_IUCN",0,3,863,9,0,40.5,22869.5,4.5,"Liolaemus scapularis","IUCN"
"Liolaemus.telsen_IUCN",0,8,884,0,0,224,36244,0,"Liolaemus telsen","IUCN"
"Liolaemus.xanthoviridis_IUCN",0,5,919,0,0,152.5,40436,0,"Liolaemus xanthoviridis","IUCN"
"Lophognathus.gilberti_IUCN",4,1,153,543,28,6,2677.5,10045.5,"Lophognathus gilberti","IUCN"
"Moloch.horridus_IUCN",0,1,358,167,0,16,8950,1503,"Moloch horridus","IUCN"
"Moloch.horridus_GBIF",0,8,316,103,0,136,8058,875.5,"Moloch horridus","GBIF"
"Myrmecocystus.mimicus_GBIF",0,234,417,0,0,5850,13344,0,"Myrmecocystus mimicus","GBIF"
"Nannoscincus.maccoyi_GBIF",0,57,472,0,0,1254,16992,0,"Nannoscincus maccoyi","GBIF"
"Niveoscincus.metallicus_GBIF",0,67,768,0,0,1675,29184,0,"Niveoscincus metallicus","GBIF"
"Niveoscincus.ocellatus_GBIF",0,14,810,0,0,350,33210,0,"Niveoscincus ocellatus","GBIF"
"Notechis.scutatus_IUCN",0,61,525,5,0,1494.5,17587.5,17.5,"Notechis scutatus","IUCN"
"Oedothorax.apicatus_GBIF",0,228,2788,6,0,8208,157522,21,"Oedothorax apicatus","GBIF"
"Pardosa.nigriceps_GBIF",0,255,2419,0,0,9690,141511.5,0,"Pardosa nigriceps","GBIF"
"Philodromus.aureolus_GBIF",0,155,3343,4,0,5270,185536.5,58,"Philodromus aureolus","GBIF"
"Phrynosoma.cornutum_IUCN",0,210,450,0,0,5145,13725,0,"Phrynosoma cornutum","IUCN"
"Phymaturus.antofagastensis_IUCN",0,2,801,0,0,29,21226.5,0,"Phymaturus antofagastensis","IUCN"
"Phymaturus.dorsimaculatus_IUCN",0,2,842,0,0,48,31154,0,"Phymaturus dorsimaculatus","IUCN"
"Phymaturus.indistinctus_IUCN",0,1,946,0,0,30,42570,0,"Phymaturus indistinctus","IUCN"
"Phymaturus.palluma_IUCN",0,5,817,0,0,112.5,27778,0,"Phymaturus palluma","IUCN"
"Phymaturus.somuncurensis_IUCN",0,2,994,0,0,51,40754,0,"Phymaturus somuncurensis","IUCN"
"Phymaturus.tenebrosus_IUCN",0,2,856,0,0,55,34668,0,"Phymaturus tenebrosus","IUCN"
