"longitude","latitude","seasonal_high_temp"
-177.5,4.5,-Inf
-177.5,5.5,-Inf
-177.5,6.5,-Inf
-177.5,7.5,-Inf
-177.5,8.5,-Inf
-177.5,9.5,-Inf
-177.5,10.5,-Inf
-177.5,11.5,-Inf
-177.5,12.5,-Inf
-177.5,13.5,-Inf
-177.5,14.5,-Inf
-177.5,15.5,-Inf
-177.5,16.5,-Inf
-177.5,17.5,-Inf
-177.5,18.5,-Inf
-177.5,19.5,-Inf
-177.5,20.5,-Inf
-177.5,21.5,-Inf
-177.5,22.5,-Inf
-177.5,23.5,-Inf
-177.5,24.5,-Inf
-177.5,25.5,-Inf
-177.5,26.5,-Inf
-177.5,27.5,-Inf
-177.5,28.5,-Inf
-177.5,29.5,-Inf
-177.5,30.5,-Inf
-177.5,31.5,-Inf
-177.5,32.5,-Inf
-177.5,33.5,-Inf
-177.5,34.5,-Inf
-177.5,35.5,-Inf
-177.5,36.5,-Inf
-177.5,37.5,-Inf
-177.5,38.5,-Inf
-177.5,39.5,-Inf
-177.5,40.5,-Inf
-177.5,41.5,-Inf
-177.5,42.5,-Inf
-177.5,43.5,-Inf
-177.5,44.5,-Inf
-177.5,45.5,-Inf
-177.5,46.5,-Inf
-177.5,47.5,-Inf
-177.5,48.5,-Inf
-177.5,49.5,-Inf
-177.5,50.5,-Inf
-177.5,51.5,13.4640596175832
-177.5,52.5,-Inf
-177.5,53.5,-Inf
-177.5,54.5,-Inf
-177.5,55.5,-Inf
-177.5,56.5,-Inf
-177.5,57.5,-Inf
-177.5,58.5,-Inf
-177.5,59.5,-Inf
-177.5,60.5,-Inf
-177.5,61.5,-Inf
-177.5,62.5,-Inf
-177.5,63.5,-Inf
-177.5,64.5,-Inf
-177.5,65.5,13.3716948073091
-177.5,66.5,15.785648698679
-177.5,67.5,16.0072940379514
-177.5,68.5,10.2383121109967
-177.5,69.5,-Inf
-177.5,70.5,-Inf
-177.5,71.5,5.7442453221551
-177.5,72.5,-Inf
-177.5,73.5,-Inf
-177.5,74.5,-Inf
-177.5,75.5,-Inf
-177.5,76.5,-Inf
-177.5,77.5,-Inf
-177.5,78.5,-Inf
-177.5,79.5,-Inf
-177.5,80.5,-Inf
-177.5,81.5,-Inf
-177.5,82.5,-Inf
-177.5,83.5,-Inf
-177.5,84.5,-Inf
-177.5,85.5,-Inf
-177.5,86.5,-Inf
-177.5,87.5,-Inf
-177.5,88.5,-Inf
-177.5,89.5,-Inf
-176.5,-89.5,-22.9104350175176
-176.5,-88.5,-24.9960958020318
-176.5,-87.5,-24.0138626534314
-176.5,-86.5,-21.8963449326299
-176.5,-85.5,-14.7987329042738
-176.5,-84.5,-3.5729664786231
-176.5,-83.5,-2.59615157175632
-176.5,-82.5,-3.63422287399215
-176.5,-81.5,-4.31654518953125
-176.5,-80.5,-4.585125063342
-176.5,-79.5,-4.27642094336472
-176.5,-78.5,-3.01317845513778
-176.5,-77.5,-Inf
-176.5,-76.5,-Inf
-176.5,-75.5,-Inf
-176.5,-74.5,-Inf
-176.5,-73.5,-Inf
-176.5,-72.5,-Inf
-176.5,-71.5,-Inf
-176.5,-70.5,-Inf
-176.5,-69.5,-Inf
-176.5,-68.5,-Inf
-176.5,-67.5,-Inf
-176.5,-66.5,-Inf
-176.5,-65.5,-Inf
-176.5,-64.5,-Inf
-176.5,-63.5,-Inf
-176.5,-62.5,-Inf
-176.5,-61.5,-Inf
