"longitude","latitude","seasonal_low_temp","cold_dormancy_6mo","low_at_min_elev"
-178.5,-80.5,-38.7228217543236,-36.2941131987742,-38.7228217543236
-178.5,-79.5,-37.7781088903546,-35.3050888188316,-37.7781088903546
-178.5,-78.5,-37.2182839279728,-34.6083966036194,-37.2182839279728
-178.5,65.5,-22.7197777671473,-13.3267387898004,-22.6749757317203
-178.5,66.5,-28.6617450090391,-15.3177944147489,-27.7546802847247
-178.5,67.5,-31.5770576119955,-16.7774307913768,-30.8909422468612
-178.5,68.5,-30.5785042901124,-17.620809838464,-30.3565213522305
-178.5,71.5,-30.5168435483107,-19.4939173037342,-30.3154101745523
-177.5,-89.5,-61.1177328963365,-59.2604479564088,-61.1177328963365
-177.5,-88.5,-61.0006008092846,-59.268247352607,-61.0006008092846
-177.5,-87.5,-58.1707123573337,-56.5365585161639,-58.1707123573337
-177.5,-86.5,-54.3973774867398,-52.8283012598919,-54.3973774867398
-177.5,-85.5,-46.38655602304,-44.8397960922814,-46.38655602304
-177.5,-84.5,-36.1444257687245,-34.5445426324981,-36.1444257687245
-177.5,-83.5,-34.2261439962046,-32.4042466908028,-34.2261439962046
-177.5,-82.5,-36.892138156827,-34.8012802675899,-36.892138156827
-177.5,-81.5,-38.3725206728226,-36.0717842947159,-38.3725206728226
-177.5,-80.5,-38.802219662496,-36.3625185474753,-38.802219662496
-177.5,-79.5,-37.8996164680592,-35.4142989126034,-37.8996164680592
-177.5,-78.5,-37.4646386943491,-34.8059577146678,-37.4646386943491
-177.5,51.5,-10.0946664472776,-5.8719137530275,-10.0224291037703
-177.5,65.5,-23.3577019235918,-13.5038932114942,-23.0561559743358
-177.5,66.5,-29.4075937039086,-15.6900443711495,-28.5049115933606
-177.5,67.5,-31.324014687751,-16.5057569749121,-30.9477789271053
-177.5,68.5,-28.8977938307449,-17.6067300261974,-28.8818902847344
-177.5,71.5,-29.1315743143803,-19.2887432834932,-29.0779515579213
-176.5,-89.5,-61.0767318713878,-59.2221750413733,-61.0767318713878
-176.5,-88.5,-60.9525546712535,-59.2246834031373,-60.9525546712535
-176.5,-87.5,-57.9887064078024,-56.3611024011991,-57.9887064078024
-176.5,-86.5,-54.1784252322146,-52.6176009117493,-54.1784252322146
-176.5,-85.5,-45.7008171232683,-44.1622174881931,-45.7008171232683
-176.5,-84.5,-33.7958173759282,-32.2039929721704,-33.7958173759282
-176.5,-83.5,-34.2614699192877,-32.4318601658568,-34.2614699192877
-176.5,-82.5,-37.0816506077136,-34.9681756094032,-37.0816506077136
-176.5,-81.5,-38.4955624774498,-36.1761028060956,-38.4955624774498
-176.5,-80.5,-38.8767587031637,-36.4250904153866,-38.8767587031637
-176.5,-79.5,-38.0041006482073,-35.5039670707392,-38.0041006482073
-176.5,-78.5,-37.6474864303001,-34.9416808813378,-37.6474864303001
-176.5,-43.5,0.561639417055994,1.63106538237605,0.571936233473026
-176.5,51.5,-9.94918917724114,-5.84289376524144,-9.82931679637811
-176.5,65.5,-24.2952252651964,-13.4193446086413,-23.8718304877581
-176.5,66.5,-29.6032891563007,-15.6908033141888,-28.962670855333
-176.5,67.5,-30.9544958566981,-16.5290541299209,-30.775165922694
-175.5,-89.5,-61.0424903686557,-59.1891955676888,-61.0424903686557
-175.5,-88.5,-60.9153109553669,-59.1900214475513,-60.9153109553669
-175.5,-87.5,-57.7628322663052,-56.13880567854,-57.7628322663052
-175.5,-86.5,-53.9620102305497,-52.4039750665692,-53.9620102305497
-175.5,-85.5,-46.5262152688844,-44.9881339238691,-46.5262152688844
-175.5,-84.5,-34.6724079094827,-33.0812266714073,-34.6724079094827
-175.5,-83.5,-34.3425259696453,-32.4953428795162,-34.3425259696453
-175.5,-82.5,-37.286213656302,-35.143767639223,-37.286213656302
-175.5,-81.5,-38.6354225023184,-36.2923581426697,-38.6354225023184
-175.5,-80.5,-38.9300643337624,-36.4682806904295,-38.9300643337624
-175.5,-79.5,-38.0291018462607,-35.4961422389639,-38.0291018462607
-175.5,-78.5,-37.6249771122422,-34.8756336951894,-37.6249771122422
-175.5,64.5,-20.2991912194661,-12.3828262037465,-20.1489859803953
-175.5,65.5,-26.1248681021368,-13.5540419318846,-25.4217109354001
-175.5,66.5,-29.3324616913285,-15.8748603500545,-28.7082775059494
-175.5,67.5,-29.8343217311161,-16.9933983070687,-29.6590897502816
-174.5,-89.5,-61.0179218410381,-59.1639600661716,-61.0179218410381
-174.5,-88.5,-60.8893105815564,-59.1641259147253,-60.8893105815564
-174.5,-87.5,-57.5417683256524,-55.9188057012856,-57.5417683256524
-174.5,-86.5,-53.6803416492684,-52.1203002728788,-53.6803416492684
-174.5,-85.5,-49.386536658236,-47.8412583476199,-49.386536658236
-174.5,-84.5,-35.6386610691036,-34.0388983227313,-35.6386610691036
-174.5,-83.5,-34.4606622759652,-32.5877844982914,-34.4606622759652
-174.5,-82.5,-37.4906817469214,-35.3162306222532,-37.4906817469214
-174.5,-81.5,-38.5786932723991,-36.2449900281749,-38.5786932723991
-174.5,-80.5,-38.6942409598934,-36.2677791508713,-38.6942409598934
-174.5,-79.5,-37.7431895257639,-35.166142872242,-37.7431895257639
-174.5,-78.5,-37.4662371045777,-34.6807919191729,-37.4662371045777
-174.5,52.5,-9.40716236680746,-5.77455605887808,-9.23846483441861
-174.5,64.5,-21.6816102366362,-11.9661103872644,-21.4551075131205
-174.5,65.5,-27.331297064679,-13.5344969349071,-26.6231884630956
-174.5,66.5,-28.9829468654203,-15.9666959592973,-28.7391841445069
-174.5,67.5,-28.4552786300225,-17.3256129125577,-28.4473588926402
-173.5,-89.5,-61.0023377359978,-59.1461895449087,-61.0023377359978
-173.5,-88.5,-60.8728633930641,-59.1457415588175,-60.8728633930641
-173.5,-87.5,-57.3687424932207,-55.7441228736192,-57.3687424932207
-173.5,-86.5,-53.349302293786,-51.7857266899198,-53.349302293786
-173.5,-85.5,-50.5755729264447,-49.0181957703084,-50.5755729264447
-173.5,-84.5,-35.4114477756832,-33.7932224707412,-35.4114477756832
-173.5,-83.5,-34.6676438353024,-32.7511261185365,-34.6676438353024
-173.5,-82.5,-37.401862524982,-35.2445312049506,-37.401862524982
-173.5,-81.5,-38.3274504770373,-36.0357548865889,-38.3274504770373
-173.5,-80.5,-38.5131177882531,-36.0480748764638,-38.5131177882531
-173.5,-79.5,-37.4650084967459,-34.845415747618,-37.4650084967459
-173.5,-78.5,-37.29999316207,-34.4840980356825,-37.29999316207
-173.5,64.5,-23.0251284773861,-12.3362181472725,-22.1152413537222
-173.5,65.5,-27.1710893046111,-13.3170170564204,-26.5394522862749
-173.5,66.5,-29.5773729496769,-16.0471668297381,-29.2436436465123
-173.5,67.5,-27.6656152869974,-17.4839466697403,-27.6581598508408
-172.5,-89.5,-60.9818900278636,-59.1247555518257,-60.9818900278636
-172.5,-88.5,-60.8655231835587,-59.1346300721356,-60.8655231835587
-172.5,-87.5,-57.2256470231073,-55.596156908891,-57.2256470231073
-172.5,-86.5,-52.913362666113,-51.3422660134733,-52.913362666113
-172.5,-85.5,-52.3098920464516,-50.7381240352988,-52.3098920464516
-172.5,-84.5,-34.4758660908256,-32.8376463275403,-34.4758660908256
-172.5,-83.5,-34.4505668053137,-32.5701859073181,-34.4505668053137
-172.5,-82.5,-37.0980555617384,-34.9904156235911,-37.0980555617384
-172.5,-81.5,-38.0386831771516,-35.791589144298,-38.0386831771516
-172.5,-80.5,-38.3102081519419,-35.8088217709213,-38.3102081519419
-172.5,-79.5,-37.1922334948289,-34.5331213186894,-37.1922334948289
-172.5,-78.5,-37.1362290503723,-34.2947527032346,-37.1362290503723
-172.5,-13.5,18.1777940886095,18.4396185733473,18.4561025179774
-172.5,60.5,-15.9864634171128,-9.78385627124725,-15.9611619131171
-172.5,64.5,-21.5810383177762,-11.8658178361044,-21.3279296547494
-172.5,65.5,-26.062887261595,-13.0264694235687,-25.5898357204431
-172.5,66.5,-30.752234487475,-15.929264703832,-30.0785444547661
-171.5,-89.5,-60.9584414890834,-59.1011368202312,-60.9584414890834
-171.5,-88.5,-60.8475539160626,-59.1152074922475,-60.8475539160626
-171.5,-87.5,-57.0668397952403,-55.4324054734515,-57.0668397952403
-171.5,-86.5,-52.2252934400524,-50.64432343037,-52.2252934400524
-171.5,-85.5,-53.4481786446912,-51.8583411103913,-53.4481786446912
-171.5,-84.5,-33.4491669056671,-31.8225553113701,-33.4491669056671
-171.5,-83.5,-34.1916968790781,-32.3544520877568,-34.1916968790781
-171.5,-82.5,-36.8211522726076,-34.7522101764168,-36.8211522726076
-171.5,-81.5,-37.8387092958604,-35.5726976906615,-37.8387092958604
-171.5,-80.5,-38.1219902555483,-35.5890749131462,-38.1219902555483
-171.5,-79.5,-36.9906446863498,-34.293666092333,-36.9906446863498
-171.5,-78.5,-36.9914093527411,-34.1284579931625,-36.9914093527411
-171.5,-13.5,18.2178952221892,18.5608422020771,18.3370117568357
-171.5,63.5,-20.6572469843285,-11.8159462142397,-20.5828664066173
-171.5,65.5,-24.5150077234421,-13.0266666341396,-24.0239575296986
-171.5,66.5,-29.2246634594032,-15.5058033951691,-28.6188721674687
-170.5,-89.5,-60.9383545406163,-59.0805790625513,-60.9383545406163
-170.5,-88.5,-60.8231678659362,-59.090679443142,-60.8231678659362
-170.5,-87.5,-56.8476692233767,-55.2135965117919,-56.8476692233767
-170.5,-86.5,-51.4098028645984,-49.8281594572589,-51.4098028645984
-170.5,-85.5,-50.1911164694067,-48.6055529288948,-50.1911164694067
-170.5,-84.5,-33.1202693703983,-31.5312683139994,-33.1202693703983
-170.5,-83.5,-33.9566853111061,-32.1576973766621,-33.9566853111061
-170.5,-82.5,-36.5546963851367,-34.5196626209255,-36.5546963851367
-170.5,-81.5,-37.6510000806501,-35.3611209535173,-37.6510000806501
-170.5,-80.5,-37.9459167632407,-35.3863721614437,-37.9459167632407
-170.5,-79.5,-36.8336736653266,-34.1038274413773,-36.8336736653266
-170.5,-78.5,-36.875618190957,-33.9966261063835,-36.875618190957
-170.5,63.5,-21.2490118050981,-11.4325975423872,-21.12389399025
-170.5,65.5,-22.6453937996711,-12.5493236965899,-22.4774343030614
-170.5,66.5,-27.065972673893,-14.9966562886456,-26.8622352710254
-169.5,-89.5,-60.9183119129922,-59.0602393564635,-60.9183119129922
-169.5,-88.5,-60.7988079005054,-59.0660527798214,-60.7988079005054
-169.5,-87.5,-56.6452405014208,-55.011294898444,-56.6452405014208
-169.5,-86.5,-50.6166945739516,-49.0342228369787,-50.6166945739516
-169.5,-85.5,-47.5316688826574,-45.970925620624,-47.5316688826574
-169.5,-84.5,-32.4458375624248,-30.8812766693532,-32.4458375624248
-169.5,-83.5,-33.7878344237389,-32.0144186723545,-33.7878344237389
-169.5,-82.5,-36.3185287298901,-34.3077940589349,-36.3185287298901
-169.5,-81.5,-37.4812904607505,-35.1726685050343,-37.4812904607505
-169.5,-80.5,-37.7883501437626,-35.2082177126514,-37.7883501437626
-169.5,-79.5,-36.718717640798,-33.9621157501957,-36.718717640798
-169.5,-78.5,-36.8032931111753,-33.9160803953452,-36.8032931111753
-169.5,63.5,-20.6178219809064,-10.8882553256427,-20.5807854965689
-169.5,66.5,-24.9748388213771,-14.6752868425278,-24.9310051339447
-168.5,-89.5,-60.8959806180426,-59.0377975460142,-60.8959806180426
-168.5,-88.5,-60.7698670927967,-59.0374579073462,-60.7698670927967
-168.5,-87.5,-56.450181403969,-54.8163929578449,-56.450181403969
-168.5,-86.5,-49.8056891461568,-48.2279992026676,-49.8056891461568
-168.5,-85.5,-47.5595196534979,-46.0215696672244,-47.5595196534979
-168.5,-84.5,-31.9268923490441,-30.364081973955,-31.9268923490441
-168.5,-83.5,-33.7201142304194,-31.9526149421797,-33.7201142304194
-168.5,-82.5,-36.1577504799834,-34.1496987813552,-36.1577504799834
-168.5,-81.5,-37.3431574774108,-35.0225020409695,-37.3431574774108
-168.5,-80.5,-37.6653639707182,-35.0735948297062,-37.6653639707182
-168.5,-79.5,-36.7103390745286,-33.9311179866349,-36.7103390745286
-168.5,-78.5,-36.7889546444906,-33.9021069882704,-36.7889546444906
-168.5,53.5,-8.39005395301751,-4.7292432256309,-8.1034554218048
-167.5,-89.5,-60.8756607818816,-59.0174593379987,-60.8756607818816
-167.5,-88.5,-60.7290837083544,-58.9987346567812,-60.7290837083544
-167.5,-87.5,-56.1794509766357,-54.5624055708093,-56.1794509766357
-167.5,-86.5,-48.8987162204725,-47.3547102073207,-48.8987162204725
-167.5,-85.5,-48.1464066045625,-46.6313560535865,-48.1464066045625
-167.5,-84.5,-31.5477694125048,-29.9862714045282,-31.5477694125048
-167.5,-83.5,-33.7354247602218,-31.9577697518947,-33.7354247602218
-167.5,-82.5,-36.0789198675326,-34.0688227950462,-36.0789198675326
-167.5,-81.5,-37.2411875610373,-34.9175973024219,-37.2411875610373
-167.5,-80.5,-37.5725912240933,-34.9792839236557,-37.5725912240933
-167.5,-79.5,-36.7280889124476,-33.9284177968545,-36.7280889124476
-167.5,-78.5,-36.6780383130269,-33.7730122339779,-36.6780383130269
-167.5,53.5,-8.3739727722747,-4.23935535640589,-8.22338372740575
-167.5,60.5,-16.3405153700284,-8.88960471151206,-16.3146094629384
-167.5,65.5,-22.5166749226195,-11.4951004122517,-22.3533098842445
-166.5,-89.5,-60.8557479677456,-58.9975757067757,-60.8557479677456
-166.5,-88.5,-60.6347793177835,-58.9161656623573,-60.6347793177835
-166.5,-87.5,-55.9006537239466,-54.3018330332956,-55.9006537239466
-166.5,-86.5,-48.1522428376866,-46.6293944842049,-48.1522428376866
-166.5,-85.5,-46.0584025965205,-44.5554743409157,-46.0584025965205
-166.5,-84.5,-31.5827215559781,-30.0180306048132,-31.5827215559781
-166.5,-83.5,-33.7376751941828,-31.9520064452929,-33.7376751941828
-166.5,-82.5,-36.071722164963,-34.0392566617046,-36.071722164963
-166.5,-81.5,-37.1970394188804,-34.877969061264,-37.1970394188804
-166.5,-80.5,-37.5193529406296,-34.9365913415594,-37.5193529406296
-166.5,-79.5,-36.4519157428563,-33.6366651170155,-36.4519157428563
-166.5,-78.5,-36.5319401877267,-33.6211113407676,-36.5319401877267
-166.5,53.5,-8.1918402772929,-4.42250455420997,-7.67983305453176
-166.5,59.5,-15.5713875596012,-8.12895276196874,-15.5352840461784
-166.5,60.5,-17.2507871959891,-8.58028584198801,-17.1636490778982
-166.5,64.5,-19.8766255431942,-10.3165145270282,-19.772155454474
-166.5,65.5,-24.5767442385533,-11.0287185388662,-24.1891545131239
-166.5,66.5,-23.5714664883379,-13.4028712970444,-23.5645421697509
-166.5,68.5,-27.0141787473645,-14.7823651213365,-26.9321722440282
-165.5,-89.5,-60.8166727170348,-58.9625394368278,-60.8166727170348
-165.5,-88.5,-60.5575047662216,-58.8465197789749,-60.5575047662216
-165.5,-87.5,-55.6896190851927,-54.1015646894595,-55.6896190851927
-165.5,-86.5,-47.8156770323004,-46.3045322324016,-47.8156770323004
-165.5,-85.5,-43.7334463261068,-42.2343730184383,-43.7334463261068
-165.5,-84.5,-31.545961099118,-29.9689521377374,-31.545961099118
-165.5,-83.5,-33.7762189886915,-31.9751235062523,-33.7762189886915
-165.5,-82.5,-36.0616287969219,-34.0066172799362,-36.0616287969219
-165.5,-81.5,-37.1610627435148,-34.8527624178146,-37.1610627435148
-165.5,-80.5,-37.1810295195186,-34.5924409572035,-37.1810295195186
-165.5,-79.5,-35.9793948412474,-33.1814198942655,-35.9793948412474
-165.5,-78.5,-35.942518239149,-33.0544887028368,-35.942518239149
-165.5,54.5,-8.00101548348154,-4.62166845251673,-7.91603575715957
-165.5,60.5,-17.5483728594014,-8.17446546615767,-17.5041734364072
-165.5,61.5,-19.7321405197893,-8.46908460309995,-19.6471041941543
-165.5,62.5,-19.0637767486008,-9.30506502350526,-19.0590855637068
-165.5,64.5,-21.2859402864639,-10.3037291588766,-20.8287457724091
-165.5,65.5,-25.5626469834841,-10.8855927273276,-25.0242008534137
-165.5,66.5,-24.2247989309153,-12.8770437735532,-24.2005017737969
-165.5,68.5,-28.2942883161562,-14.3569131405403,-27.8915750929456
-164.5,-89.5,-60.7886720688215,-58.9366865036743,-60.7886720688215
-164.5,-88.5,-60.4975970420454,-58.7902563373026,-60.4975970420454
-164.5,-87.5,-55.5875791064331,-54.0048318913739,-55.5875791064331
-164.5,-86.5,-47.092163204721,-45.5858735736992,-47.092163204721
-164.5,-85.5,-41.6076216142092,-40.1091593080134,-41.6076216142092
-164.5,-84.5,-31.6268981404603,-30.0363064363599,-31.6268981404603
-164.5,-83.5,-33.8238065551592,-32.0047793120146,-33.8238065551592
-164.5,-82.5,-36.0508064253522,-33.9727111038353,-36.0508064253522
-164.5,-81.5,-37.0174780887685,-34.7169465668233,-37.0174780887685
-164.5,-80.5,-36.7877307561359,-34.1979445682173,-36.7877307561359
-164.5,-79.5,-35.5574712562774,-32.7830674734366,-35.5574712562774
-164.5,-78.5,-35.2978025747197,-32.4426964458078,-35.2978025747197
-164.5,54.5,-8.89355699803148,-4.47380640331124,-8.54386215192034
-164.5,60.5,-18.8962481597705,-7.54910131884677,-18.7945639501675
-164.5,61.5,-21.4888258410352,-7.69936289904373,-21.4458200903493
-164.5,62.5,-21.2612306225945,-8.48672482982012,-21.2283903468699
-164.5,63.5,-18.577244747643,-9.77906547071678,-18.5766760562374
-164.5,64.5,-21.4573711646455,-10.106573957533,-21.1401770481148
-164.5,65.5,-25.8437838247844,-10.92701528701,-25.256254842304
-164.5,66.5,-24.3443820540394,-12.378685064848,-24.2725787661064
-164.5,67.5,-25.2207270691437,-13.1875489104965,-25.158313981742
-164.5,68.5,-29.2157083396401,-14.0434125010534,-28.7882664569573
-163.5,-89.5,-60.7733924418688,-58.921254559287,-60.7733924418688
-163.5,-88.5,-60.4502353338259,-58.7433154647239,-60.4502353338259
-163.5,-87.5,-55.5780648682799,-53.9959332004988,-55.5780648682799
-163.5,-86.5,-46.4234324313966,-44.9164446192661,-46.4234324313966
-163.5,-85.5,-38.7654973184424,-37.2620636004489,-38.7654973184424
-163.5,-84.5,-31.7269963848804,-30.1234456045553,-31.7269963848804
-163.5,-83.5,-33.8353978633481,-32.0042252869744,-33.8353978633481
-163.5,-82.5,-35.9257283903459,-33.8454118271491,-35.9257283903459
-163.5,-81.5,-36.6122821791297,-34.3068723620581,-36.6122821791297
-163.5,-80.5,-36.3750772084509,-33.7915454383407,-36.3750772084509
-163.5,-79.5,-35.3069170250957,-32.5592726786887,-35.3069170250957
-163.5,-78.5,-34.5662283158728,-31.7584604712203,-34.5662283158728
-163.5,54.5,-8.78066968967739,-4.64294438247983,-8.44479731858223
-163.5,55.5,-8.97491442135402,-5.095257322743,-8.96901297384103
-163.5,59.5,-15.1422864679779,-7.85114248903734,-15.1385408104031
-163.5,60.5,-20.1059123313853,-6.84152397506294,-20.0873765675124
-163.5,61.5,-21.3979417666793,-7.39791859499223,-21.3617695747192
-163.5,62.5,-22.3567610428802,-8.01193986481854,-22.2434083585566
-163.5,63.5,-18.9037500616695,-9.57129616203053,-18.9018387400536
-163.5,64.5,-21.3542020848819,-9.95554399294113,-21.144072793703
-163.5,65.5,-26.2454796160039,-11.1965639890083,-25.5721273122473
-163.5,66.5,-23.7036446878287,-12.1895219227618,-23.6745030904844
-163.5,67.5,-27.1915410254683,-12.9420267860379,-26.8787219612378
-163.5,68.5,-30.2618357828685,-14.7834152388431,-29.5767812040874
-163.5,69.5,-29.0940214082599,-16.3277137195292,-29.0048163019989
-162.5,-89.5,-60.7788430274597,-58.9229970646756,-60.7788430274597
-162.5,-88.5,-60.4205611865435,-58.7099865553901,-60.4205611865435
-162.5,-87.5,-55.5813783888306,-53.9955275966653,-55.5813783888306
-162.5,-86.5,-46.5319505915844,-45.0187892136297,-46.5319505915844
-162.5,-85.5,-35.6648971722594,-34.1501268817777,-35.6648971722594
-162.5,-84.5,-31.8533588366849,-30.2302215693652,-31.8533588366849
-162.5,-83.5,-33.877905785951,-32.0275153498232,-33.877905785951
-162.5,-82.5,-35.7548988589751,-33.6784437387649,-35.7548988589751
-162.5,-81.5,-36.1750239270939,-33.8718280083367,-36.1750239270939
-162.5,-80.5,-35.9401851225112,-33.3690246548371,-35.9401851225112
-162.5,-79.5,-35.5803550856454,-32.8592556374048,-35.5803550856454
-162.5,-78.5,-33.6480864224689,-30.9059721043866,-33.6480864224689
-162.5,55.5,-10.3942286103964,-4.66030241739271,-9.9863562271348
-162.5,60.5,-19.8585867515632,-6.70853651057397,-19.8396918643108
-162.5,61.5,-21.0952407857669,-7.1439284416521,-21.0377291665989
-162.5,62.5,-22.9535154590317,-8.02704542337784,-22.5594135552852
-162.5,63.5,-19.8526779799589,-9.40182812790786,-19.7430467480211
-162.5,64.5,-21.3180103455271,-10.1435611128896,-20.9495708125018
-162.5,65.5,-26.1060442933014,-10.839276702946,-25.4272628709645
-162.5,66.5,-23.7210522610162,-11.9920173729318,-23.6941078946588
-162.5,67.5,-28.4929006128971,-12.6045410422475,-28.1528169905947
-162.5,68.5,-30.8720094593508,-15.3630705531753,-30.0245191608412
-162.5,69.5,-31.1016569107771,-16.3616944029362,-30.8480055519719
-162.5,70.5,-29.3644443268222,-18.1017536704828,-29.3613087538544
-161.5,-89.5,-60.7812887117267,-58.9226189630372,-60.7812887117267
-161.5,-88.5,-60.4173429429531,-58.6980245952228,-60.4173429429531
-161.5,-87.5,-55.5760113280799,-53.9812282758499,-55.5760113280799
-161.5,-86.5,-46.5473976198584,-45.022558114385,-46.5473976198584
-161.5,-85.5,-35.2962145142257,-33.7640533266855,-35.2962145142257
-161.5,-84.5,-32.0083857206362,-30.3587009782105,-32.0083857206362
-161.5,-83.5,-33.9657167156293,-32.0862121226532,-33.9657167156293
-161.5,-82.5,-35.567122151553,-33.4970250125841,-35.567122151553
-161.5,-81.5,-35.7378838642899,-33.4438567653298,-35.7378838642899
-161.5,-80.5,-35.5175619925771,-32.965551724398,-35.5175619925771
-161.5,-79.5,-35.5341963418892,-32.8406806758605,-35.5341963418892
-161.5,-78.5,-32.5335847394807,-29.8681146260151,-32.5335847394807
-161.5,-77.5,-36.3477684519121,-33.383135993353,-36.3477684519121
-161.5,55.5,-10.6921040289104,-4.16508793840185,-10.3415554191785
-161.5,58.5,-13.8492222074951,-6.89873785789524,-13.7420002571954
-161.5,59.5,-17.678210516886,-6.69992905603988,-17.3285397822135
-161.5,60.5,-19.5187519584383,-6.4655337076102,-19.4715393520447
-161.5,61.5,-20.8319102489523,-6.88386297150382,-20.686611182571
-161.5,62.5,-23.1155234128237,-7.9811023667029,-22.6039443262948
-161.5,63.5,-21.9868586760546,-9.33248592570424,-21.6822126505791
-161.5,64.5,-21.6495583389487,-9.60419879679169,-21.5785821045266
-161.5,65.5,-26.0698312801974,-10.3553136938784,-25.5814243081567
-161.5,66.5,-25.3334929319365,-11.4814562518895,-25.2587069445199
-161.5,67.5,-29.3452374666929,-13.3405461806627,-28.4564281096193
-161.5,68.5,-31.0534122073225,-15.674994895126,-30.1844103458562
-161.5,69.5,-32.4124280680503,-16.4333948726455,-32.1300767794933
-161.5,70.5,-30.1876242399748,-18.0345808018442,-30.1615576297491
-160.5,-89.5,-60.7705496254776,-58.9117451281952,-60.7705496254776
-160.5,-88.5,-60.412947619121,-58.6846621835072,-60.412947619121
-160.5,-87.5,-55.5740015777094,-53.9651145802545,-55.5740015777094
-160.5,-86.5,-46.3421523590173,-44.8011528584973,-46.3421523590173
-160.5,-85.5,-34.9491021000913,-33.3960062440485,-34.9491021000913
-160.5,-84.5,-32.1840740083584,-30.5037797934765,-32.1840740083584
-160.5,-83.5,-34.04697282297,-32.1387325502799,-34.04697282297
-160.5,-82.5,-35.2847238754588,-33.2348946126976,-35.2847238754588
-160.5,-81.5,-35.3377320008352,-33.0609753047781,-35.3377320008352
-160.5,-80.5,-35.1039084881278,-32.5762817829714,-35.1039084881278
-160.5,-79.5,-34.9092145830393,-32.2431355199644,-34.9092145830393
-160.5,-78.5,-31.9260668078704,-29.2986101096995,-31.9260668078704
-160.5,-77.5,-35.2030772756253,-32.2973974108164,-35.2030772756253
-160.5,55.5,-10.1880096344011,-4.65550585242121,-9.65708179036889
-160.5,56.5,-10.5951206380767,-5.35695585033723,-10.5424326188347
-160.5,58.5,-13.0987617793094,-6.8835406456462,-13.0519651109308
-160.5,59.5,-19.0663993066975,-6.69127812338993,-18.2797330167794
-160.5,60.5,-19.7154856594546,-6.94255952183689,-19.2218327486061
-160.5,61.5,-20.6477434942765,-6.69659756324121,-20.5359930194692
-160.5,62.5,-22.6263233959675,-7.44162179841527,-22.3679932664964
-160.5,63.5,-23.6434901598309,-9.14015371475901,-23.0182904570457
-160.5,64.5,-24.2668699313487,-9.81215641809361,-23.6158652237575
-160.5,65.5,-26.5016381518649,-10.2524397123073,-25.9571812878788
-160.5,66.5,-27.0304980401482,-11.2634097888214,-26.6788657608534
-160.5,67.5,-29.4662813329271,-13.5069914674231,-28.4081869406738
-160.5,68.5,-31.5354101470539,-16.3291773428564,-30.4664431704643
-160.5,69.5,-32.3681659238679,-16.5894110773557,-32.0174796478824
-160.5,70.5,-31.2575138586972,-17.9678589630118,-31.2154025499202
-159.5,-89.5,-60.7628469139338,-58.9040914950626,-60.7628469139338
-159.5,-88.5,-60.3568010594164,-58.6287493189531,-60.3568010594164
-159.5,-87.5,-55.5394899509847,-53.9238840140668,-55.5394899509847
-159.5,-86.5,-47.236837486497,-45.6848999792053,-47.236837486497
-159.5,-85.5,-33.4908782779106,-31.9234239404489,-33.4908782779106
-159.5,-84.5,-32.2228096716638,-30.5367105949404,-32.2228096716638
-159.5,-83.5,-33.7727074298875,-31.9038986879534,-33.7727074298875
-159.5,-82.5,-34.9575804772122,-32.931806208007,-34.9575804772122
