"longitude","latitude","seasonal_low_temp"
0.5,-31.5,16.8438457773569
0.5,-32.5,16.397179120674
0.5,-33.5,15.9071791316263
0.5,-34.5,15.2989740170156
0.5,-35.5,14.5520509567876
0.5,-36.5,13.6441022591331
0.5,-37.5,12.6623074092831
0.5,-38.5,11.6353843553135
0.5,-39.5,10.6802561715341
0.5,-40.5,9.9997433662319
0.5,-41.5,9.3979485078882
0.5,-42.5,8.77974339350103
0.5,-43.5,8.0594869993436
0.5,-44.5,7.20641009533444
0.5,-45.5,6.09615370989419
0.5,-46.5,5.01076911876981
0.5,-47.5,4.08999990858138
0.5,-48.5,3.34230761760129
0.5,-49.5,2.62666660795609
0.5,-50.5,1.83128201034971
0.5,-51.5,0.966410234809304
0.5,-52.5,0.21102563630885
0.5,-53.5,-0.350256402427569
0.5,-54.5,-0.747948701230761
0.5,-55.5,-1.02794869497227
0.5,-56.5,-1.25128202331372
0.5,-57.5,-1.47230765939905
0.5,-58.5,-1.65230765537574
0.5,-59.5,-1.74435893536951
0.5,-60.5,-1.77820508845915
0.5,-61.5,-1.78435893447544
0.5,-62.5,-1.78153842171797
0.5,-63.5,-1.78051278071526
0.5,-64.5,-1.78153842171797
0.5,-65.5,-1.78717944723291
0.5,-66.5,-1.79051278049174
0.5,-67.5,-1.78794867798495
0.5,-68.5,-1.75564098639939
0.5,-69.5,-1.69615380824185
0.5,-70.5,-1.64102560434586
1.5,89.5,-1.79948713926551
1.5,88.5,-1.79948713926551
1.5,87.5,-1.79076919074242
1.5,86.5,-1.79897431876415
1.5,85.5,-1.79948713926551
1.5,84.5,-1.79948713926551
1.5,83.5,-1.79948713926551
1.5,82.5,-1.79641021625736
1.5,81.5,-1.61794868178475
1.5,80.5,-0.973589721828317
1.5,79.5,-0.142564099377547
1.5,78.5,0.616153832381734
1.5,77.5,0.951794850520599
1.5,76.5,0.706923061122115
1.5,75.5,-0.150769227399276
1.5,74.5,-0.025128204566546
1.5,73.5,0.906153825899729
1.5,72.5,2.16307687472839
1.5,71.5,3.37666659119229
1.5,70.5,4.49153836114475
1.5,69.5,5.27897424098009
1.5,68.5,5.63025628441037
1.5,67.5,5.50358962057493
1.5,66.5,5.74256397420779
1.5,65.5,6.19179473339747
1.5,64.5,6.69717933748586
1.5,63.5,7.1725639422448
1.5,62.5,7.50769213988231
1.5,61.5,7.57282034355478
1.5,60.5,7.3805126555455
1.5,59.5,7.09743573879584
1.5,58.5,6.84435882137563
1.5,57.5,6.66179472289215
1.5,56.5,6.52076908501868
1.5,55.5,6.31974344848631
1.5,54.5,6.1743588363513
1.5,53.5,6.23897421952242
1.5,52.5,6.63230754406406
1.5,51.5,7.28692291404765
1.5,50.5,7.79948700515506
1.5,40.5,13.6946150785169
1.5,39.5,13.9861535335389
1.5,38.5,14.4712817278237
1.5,37.5,14.9182047947573
1.5,36.5,15.1535894048806
1.5,5.5,24.7928199586578
1.5,4.5,25.1658968733958
1.5,3.5,25.6361532731412
1.5,2.5,25.986153265318
1.5,1.5,25.9699994195253
1.5,0.5,25.4484609696441
1.5,-0.5,24.4751276580665
1.5,-1.5,23.6392302408528
1.5,-2.5,23.1438456365409
1.5,-3.5,22.9751276915941
1.5,-4.5,22.9941020501443
1.5,-5.5,22.9738456403407
1.5,-6.5,22.7912815418572
1.5,-7.5,22.4769225745247
1.5,-8.5,22.0648713016835
1.5,-9.5,21.7733328466614
1.5,-10.5,21.4707687508601
1.5,-11.5,21.0725636315556
1.5,-12.5,20.521025182345
1.5,-13.5,20.0161533987579
1.5,-14.5,19.5987175106525
1.5,-15.5,19.2724995692261
1.5,-16.5,19.0077495751437
1.5,-17.5,18.9239995770156
